invoice_id,order_id,invoice_number,taxable_value,gst_amount,total_amount,status,source
INV-0001,ORD-1,INV/2025/1001,1042.75,187.7,1230.45,PAID,
INV-0002,ORD-2,INV/2025/1002,884.38,159.19,1043.57,PAID,
INV-0003,ORD-3,INV/2025/1003,2313.91,416.5,2730.41,PAID,
INV-0004,ORD-4,INV/2025/1004,520.5,93.69,614.19,PAID,
INV-0005,ORD-5,INV/2025/1005,253.39,45.61,299.0,PAID,
INV-0006,ORD-6,INV/2025/1006,967.36,174.13,1141.49,PAID,
INV-0007,ORD-7,INV/2025/1007,4190.65,754.32,4944.97,PAID,
INV-0008,ORD-8,INV/2025/1008,363.52,65.43,428.95,PAID,
INV-0009,ORD-9,INV/2025/1009,549.59,98.93,648.52,PAID,
INV-0010,ORD-10,INV/2025/1010,571.86,102.93,674.79,PAID,
INV-0011,ORD-11,INV/2025/1011,256.04,46.09,302.13,PAID,
INV-0012,ORD-12,INV/2025/1012,1688.52,303.93,1992.45,PAID,
INV-0013,ORD-13,INV/2025/1013,603.64,108.66,712.3,PAID,
INV-0014,ORD-14,INV/2025/1014,1280.75,230.54,1511.29,PAID,
INV-0015,ORD-15,INV/2025/1015,442.45,79.64,522.09,PAID,
INV-0016,ORD-16,INV/2025/1016,900.01,162.0,1062.01,PAID,
INV-0017,ORD-17,INV/2025/1017,334.01,60.12,394.13,PAID,
INV-0018,ORD-18,INV/2025/1018,331.15,59.61,390.76,PAID,
INV-0019,ORD-19,INV/2025/1019,1629.47,293.31,1922.78,PAID,
INV-0020,ORD-20,INV/2025/1020,1267.76,228.2,1495.96,PAID,
INV-0021,ORD-21,INV/2025/1021,327.53,58.95,386.48,PAID,
INV-0022,ORD-22,INV/2025/1022,547.53,98.56,646.09,PAID,
INV-0023,ORD-23,INV/2025/1023,1812.42,326.23,2138.65,PAID,
INV-0024,ORD-24,INV/2025/1024,17002.82,3060.51,20063.33,PAID,
INV-0025,ORD-25,INV/2025/1025,2469.14,444.45,2913.59,PAID,
INV-0026,ORD-26,INV/2025/1026,516.42,92.96,609.38,PAID,
INV-0027,ORD-27,INV/2025/1027,778.12,140.06,918.18,PAID,
INV-0028,ORD-28,INV/2025/1028,3874.35,697.38,4571.73,PAID,
INV-0029,ORD-29,INV/2025/1029,2229.1,401.24,2630.34,PAID,
INV-0030,ORD-30,INV/2025/1030,500.6,90.11,590.71,PAID,
INV-0031,ORD-31,INV/2025/1031,650.39,117.07,767.46,PAID,
INV-0032,ORD-32,INV/2025/1032,3271.47,588.86,3860.33,PAID,
INV-0033,ORD-33,INV/2025/1033,3862.31,695.21,4557.52,PAID,
INV-0034,ORD-34,INV/2025/1034,1062.42,191.24,1253.66,PAID,
INV-0035,ORD-35,INV/2025/1035,927.68,166.98,1094.66,PAID,
INV-0036,ORD-36,INV/2025/1036,3672.39,661.03,4333.42,PAID,
INV-0037,ORD-37,INV/2025/1037,1206.35,217.14,1423.49,PAID,
INV-0038,ORD-38,INV/2025/1038,3709.62,667.73,4377.35,PAID,
INV-0039,ORD-39,INV/2025/1039,261.08,47.0,308.08,PAID,
INV-0040,ORD-40,INV/2025/1040,333.23,59.98,393.21,PAID,
INV-0041,ORD-41,INV/2025/1041,1558.27,280.49,1838.76,PAID,
INV-0042,ORD-42,INV/2025/1042,253.39,45.61,299.0,PAID,
INV-0043,ORD-43,INV/2025/1043,387.25,69.71,456.96,PAID,
INV-0044,ORD-44,INV/2025/1044,773.42,139.22,912.64,PAID,
INV-0045,ORD-45,INV/2025/1045,827.95,149.03,976.98,PAID,
INV-0046,ORD-46,INV/2025/1046,253.39,45.61,299.0,PAID,
INV-0047,ORD-47,INV/2025/1047,3106.0,559.08,3665.08,PAID,
INV-0048,ORD-48,INV/2025/1048,5185.99,933.48,6119.47,PAID,
INV-0049,ORD-49,INV/2025/1049,665.92,119.86,785.78,PAID,
INV-0050,ORD-50,INV/2025/1050,704.87,126.88,831.75,PAID,
INV-0051,ORD-51,INV/2025/1051,303.1,54.56,357.66,PAID,
INV-0052,ORD-52,INV/2025/1052,679.43,122.3,801.73,PAID,
INV-0053,ORD-53,INV/2025/1053,1130.81,203.54,1334.35,PAID,
INV-0054,ORD-54,INV/2025/1054,816.99,147.06,964.05,PAID,
INV-0055,ORD-55,INV/2025/1055,513.97,92.52,606.49,PAID,
INV-0056,ORD-56,INV/2025/1056,1758.78,316.58,2075.36,PAID,
INV-0057,ORD-57,INV/2025/1057,282.75,50.89,333.64,PAID,
INV-0058,ORD-58,INV/2025/1058,3573.43,643.22,4216.65,PAID,
INV-0059,ORD-59,INV/2025/1059,1752.31,315.42,2067.73,PAID,
INV-0060,ORD-60,INV/2025/1060,296.55,53.38,349.93,PAID,
INV-0061,ORD-61,INV/2025/1061,1380.78,248.54,1629.32,PAID,
INV-0062,ORD-62,INV/2025/1062,13088.53,2355.93,15444.46,PAID,
INV-0063,ORD-63,INV/2025/1063,1255.53,226.0,1481.53,PAID,
INV-0064,ORD-64,INV/2025/1064,4218.35,759.3,4977.65,PAID,
INV-0065,ORD-65,INV/2025/1065,1365.12,245.72,1610.84,PAID,
INV-0066,ORD-66,INV/2025/1066,327.07,58.87,385.94,PAID,
INV-0067,ORD-67,INV/2025/1067,2715.96,488.87,3204.83,PAID,
INV-0068,ORD-68,INV/2025/1068,253.39,45.61,299.0,PAID,
INV-0069,ORD-69,INV/2025/1069,2613.11,470.36,3083.47,PAID,
INV-0070,ORD-70,INV/2025/1070,9797.11,1763.48,11560.59,PAID,
INV-0071,ORD-71,INV/2025/1071,1044.23,187.96,1232.19,PAID,
INV-0072,ORD-72,INV/2025/1072,726.77,130.82,857.59,PAID,
INV-0073,ORD-73,INV/2025/1073,4517.02,813.06,5330.08,PAID,
INV-0074,ORD-74,INV/2025/1074,1469.71,264.55,1734.26,PAID,
INV-0075,ORD-75,INV/2025/1075,331.81,59.73,391.54,PAID,
INV-0076,ORD-76,INV/2025/1076,529.7,95.35,625.05,PAID,
INV-0077,ORD-77,INV/2025/1077,4453.54,801.64,5255.18,PAID,
INV-0078,ORD-78,INV/2025/1078,372.57,67.06,439.63,PAID,
INV-0079,ORD-79,INV/2025/1079,253.39,45.61,299.0,PAID,
INV-0080,ORD-80,INV/2025/1080,1773.05,319.15,2092.2,PAID,
INV-0081,ORD-81,INV/2025/1081,549.55,98.92,648.47,PAID,
INV-0082,ORD-82,INV/2025/1082,1180.42,212.48,1392.9,PAID,
INV-0083,ORD-83,INV/2025/1083,3376.05,607.69,3983.74,PAID,
INV-0084,ORD-84,INV/2025/1084,1335.53,240.39,1575.92,PAID,
INV-0085,ORD-85,INV/2025/1085,278.83,50.19,329.02,PAID,
INV-0086,ORD-86,INV/2025/1086,291.92,52.54,344.46,PAID,
INV-0087,ORD-87,INV/2025/1087,2608.1,469.46,3077.56,PAID,
INV-0088,ORD-88,INV/2025/1088,3710.43,667.88,4378.31,PAID,
INV-0089,ORD-89,INV/2025/1089,2773.74,499.27,3273.01,PAID,
INV-0090,ORD-90,INV/2025/1090,1148.65,206.76,1355.41,PAID,
INV-0091,ORD-91,INV/2025/1091,1728.18,311.07,2039.25,PAID,
INV-0092,ORD-92,INV/2025/1092,1150.97,207.18,1358.15,PAID,
INV-0093,ORD-93,INV/2025/1093,4247.01,764.46,5011.47,PAID,
INV-0094,ORD-94,INV/2025/1094,444.85,80.07,524.92,PAID,
INV-0095,ORD-95,INV/2025/1095,570.43,102.68,673.11,PAID,
INV-0096,ORD-96,INV/2025/1096,9161.34,1649.04,10810.38,PAID,
INV-0097,ORD-97,INV/2025/1097,1305.4,234.97,1540.37,PAID,
INV-0098,ORD-98,INV/2025/1098,1232.15,221.79,1453.94,PAID,
INV-0099,ORD-99,INV/2025/1099,534.08,96.14,630.22,PAID,
INV-0100,ORD-100,INV/2025/1100,1862.98,335.34,2198.32,PAID,
INV-0101,ORD-101,INV/2025/1101,1830.15,329.43,2159.58,PAID,
INV-0102,ORD-102,INV/2025/1102,2095.77,377.24,2473.01,PAID,
INV-0103,ORD-103,INV/2025/1103,3003.62,540.65,3544.27,PAID,
INV-0104,ORD-104,INV/2025/1104,756.94,136.25,893.19,PAID,
INV-0105,ORD-105,INV/2025/1105,384.94,69.29,454.23,PAID,
INV-0106,ORD-106,INV/2025/1106,2953.61,531.65,3485.26,PAID,
INV-0107,ORD-107,INV/2025/1107,780.27,140.45,920.72,PAID,
INV-0108,ORD-108,INV/2025/1108,275.15,49.53,324.68,PAID,
INV-0109,ORD-109,INV/2025/1109,999.95,179.99,1179.94,PAID,
INV-0110,ORD-110,INV/2025/1110,592.32,106.62,698.94,PAID,
INV-0111,ORD-111,INV/2025/1111,363.23,65.38,428.61,PAID,
INV-0112,ORD-112,INV/2025/1112,1489.59,268.13,1757.72,PAID,
INV-0113,ORD-113,INV/2025/1113,861.72,155.11,1016.83,PAID,
INV-0114,ORD-114,INV/2025/1114,1782.22,320.8,2103.02,PAID,
INV-0115,ORD-115,INV/2025/1115,739.5,133.11,872.61,PAID,
INV-0116,ORD-116,INV/2025/1116,302.75,54.5,357.25,PAID,
INV-0117,ORD-117,INV/2025/1117,1646.41,296.35,1942.76,PAID,
INV-0118,ORD-118,INV/2025/1118,253.39,45.61,299.0,PAID,
INV-0119,ORD-119,INV/2025/1119,1959.77,352.76,2312.53,PAID,
INV-0120,ORD-120,INV/2025/1120,3634.36,654.18,4288.54,PAID,
INV-0121,ORD-121,INV/2025/1121,803.29,144.59,947.88,PAID,
INV-0122,ORD-122,INV/2025/1122,1281.88,230.74,1512.62,PAID,
INV-0123,ORD-123,INV/2025/1123,516.14,92.91,609.05,PAID,
INV-0124,ORD-124,INV/2025/1124,1201.9,216.34,1418.24,PAID,
INV-0125,ORD-125,INV/2025/1125,4914.29,884.57,5798.86,PAID,
INV-0126,ORD-126,INV/2025/1126,1092.86,196.72,1289.58,PAID,
INV-0127,ORD-127,INV/2025/1127,581.77,104.72,686.49,PAID,
INV-0128,ORD-128,INV/2025/1128,425.59,76.61,502.2,PAID,
INV-0129,ORD-129,INV/2025/1129,1272.19,229.0,1501.19,PAID,
INV-0130,ORD-130,INV/2025/1130,1309.77,235.76,1545.53,PAID,
INV-0131,ORD-131,INV/2025/1131,1105.17,198.93,1304.1,PAID,
INV-0132,ORD-132,INV/2025/1132,454.03,81.73,535.76,PAID,
INV-0133,ORD-133,INV/2025/1133,1678.31,302.09,1980.4,PAID,
INV-0134,ORD-134,INV/2025/1134,320.96,57.77,378.73,PAID,
INV-0136,ORD-136,INV/2025/1136,275.45,49.58,325.03,PAID,
INV-0137,ORD-137,INV/2025/1137,264.89,47.68,312.57,PAID,
INV-0138,ORD-138,INV/2025/1138,1816.5,326.97,2143.47,PAID,
INV-0139,ORD-139,INV/2025/1139,398.18,71.67,469.85,PAID,
INV-0140,ORD-140,INV/2025/1140,496.6,89.39,585.99,PAID,
INV-0141,ORD-141,INV/2025/1141,2422.22,436.0,2858.22,PAID,
INV-0142,ORD-142,INV/2025/1142,493.54,88.84,582.38,PAID,
INV-0143,ORD-143,INV/2025/1143,1750.01,315.0,2065.01,PAID,
INV-0144,ORD-144,INV/2025/1144,2047.09,368.48,2415.57,PAID,
INV-0145,ORD-145,INV/2025/1145,301.36,54.24,355.6,PAID,
INV-0146,ORD-146,INV/2025/1146,723.11,130.16,853.27,PAID,
INV-0147,ORD-147,INV/2025/1147,739.3,133.07,872.37,PAID,
INV-0148,ORD-148,INV/2025/1148,658.6,118.55,777.15,PAID,
INV-0149,ORD-149,INV/2025/1149,1404.81,252.86,1657.67,PAID,
INV-0150,ORD-150,INV/2025/1150,510.46,91.88,602.34,PAID,
