bank_txn_id,utr,amount,value_date,direction,counterparty,description,source
BNK-0001,UTR00000001,1189.73,2025-01-09,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0002,UTR00000002,1038.65,2025-01-09,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0003,UTR00000003,2665.97,2025-01-09,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0004,UTR00000004,610.29,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0005,UTR00000005,291.94,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0006,UTR00000006,1136.1,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0007,UTR00000007,4921.63,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0008,UTR00000008,418.83,2025-01-09,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0009,UTR00000009,644.24,2025-01-09,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0010,UTR00000010,671.6,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0011,UTR00000011,295.0,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0013,UTR00000013,708.94,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0014,UTR00000014,983.73,2025-01-11,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0015,UTR00000015,507.93,2025-01-09,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0016,UTR00000016,595.52,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0017,UTR00000017,206.34,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0018,UTR00000018,376.6,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0019,UTR00000019,1877.4,2025-01-11,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0020,UTR00000020,890.78,2025-01-11,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0021,UTR00000021,377.36,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0022,UTR00000022,630.84,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0023,UTR00000023,2128.56,2025-01-11,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0024,UTR00000024,19589.83,2025-01-10,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0026,UTR00000026,595.0,2025-01-11,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0028,UTR00000028,4463.84,2025-01-11,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0029,UTR00000029,2617.93,2025-01-12,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0030,UTR00000030,576.77,2025-01-12,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0031,UTR00000031,749.35,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0032,UTR00000032,3842.11,2025-01-11,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0033,UTR00000033,4449.96,2025-01-11,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0034,UTR00000034,1247.75,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0035,UTR00000035,783.01,2025-01-11,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0036,UTR00000036,4018.73,2025-01-12,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0037,UTR00000037,1389.9,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0038,UTR00000038,2889.78,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0039,UTR00000039,300.81,2025-01-12,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0040,UTR00000040,382.31,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0041,UTR00000041,1180.13,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0042,UTR00000042,284.84,2025-01-12,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0043,UTR00000043,446.17,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0044,UTR00000044,892.18,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0045,UTR00000045,972.37,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0046,UTR00000046,175.16,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0046-2,UTR00000046B,116.78,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0047,UTR00000047,3647.78,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0048,UTR00000048,617.48,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0048-2,UTR00000048B,2433.63,2025-01-12,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0049,UTR00000049,763.99,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0050,UTR00000050,823.89,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0051,UTR00000051,343.18,2025-01-12,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0052,UTR00000052,783.76,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0053,UTR00000053,1328.05,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0054,UTR00000054,661.24,2025-01-14,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0055,UTR00000055,592.18,2025-01-17,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0056,UTR00000056,1136.36,2025-01-14,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0058,UTR00000058,4196.74,2025-01-14,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0059,UTR00000059,2018.94,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0060,UTR00000060,342.08,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0061,UTR00000061,1584.14,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0062,UTR00000062,15430.3,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0063,UTR00000063,1467.37,2025-01-14,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0064,UTR00000064,4860.18,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0065,UTR00000065,1562.94,2025-01-13,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0066,UTR00000066,376.83,2025-01-14,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0067,UTR00000067,3129.19,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0068,UTR00000068,284.84,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0069,UTR00000069,1540.5,2025-01-14,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0070,UTR00000070,11240.02,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0071,UTR00000071,1159.98,2025-01-14,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0072,UTR00000072,853.54,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0073,UTR00000073,5204.29,2025-01-14,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0074,UTR00000074,1723.82,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0075,UTR00000075,382.3,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0076,UTR00000076,585.3,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0077,UTR00000077,2969.53,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0078,UTR00000078,429.26,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0079,UTR00000079,291.94,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0080,UTR00000080,1906.44,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0081,UTR00000081,645.41,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0082,UTR00000082,1372.4,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0083,UTR00000083,3889.73,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0084,UTR00000084,1168.47,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0085,UTR00000085,321.26,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0086,UTR00000086,217.56,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0087,UTR00000087,2099.48,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0088,UTR00000088,4274.98,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0089,UTR00000089,1909.26,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0090,UTR00000090,1325.03,2025-01-15,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0091,UTR00000091,2026.99,2025-01-17,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0092,UTR00000092,1351.74,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0093,UTR00000093,4987.81,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0094,UTR00000094,522.44,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0096,UTR00000096,10555.25,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0097,UTR00000097,1497.65,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0098,UTR00000098,1447.07,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0099,UTR00000099,615.35,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0100,UTR00000100,2146.44,2025-01-16,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0101,UTR00000101,2013.77,2025-01-17,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0102,UTR00000102,2417.56,2025-01-20,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0103,UTR00000103,3530.11,2025-01-20,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0104,UTR00000104,516.34,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0105,UTR00000105,443.52,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0106,UTR00000106,2507.66,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0107,UTR00000107,899.0,2025-01-17,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0108,UTR00000108,317.02,2025-01-17,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0109,UTR00000109,1174.37,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0110,UTR00000110,682.44,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0111,UTR00000111,418.5,2025-01-17,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0112,UTR00000112,1749.42,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0113,UTR00000113,992.83,2025-01-17,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0114,UTR00000114,1470.36,2025-01-17,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0115,UTR00000115,848.41,2025-01-19,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0116,UTR00000116,343.09,2025-01-19,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0117,UTR00000117,1899.21,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0118,UTR00000118,208.66,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0119,UTR00000119,2257.96,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0120,UTR00000120,4187.33,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0121,UTR00000121,943.41,2025-01-19,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0122,UTR00000122,1478.71,2025-01-19,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0123,UTR00000123,592.16,2025-01-19,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0124,UTR00000124,1011.31,2025-01-19,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0125,UTR00000125,5771.48,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0127,UTR00000127,670.29,2025-01-18,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0128,UTR00000128,490.35,2025-01-19,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0129,UTR00000129,1392.38,2025-01-19,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0130,UTR00000130,1509.06,2025-01-19,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0132,UTR00000132,533.23,2025-01-22,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0133,UTR00000133,1933.66,2025-01-20,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0134,UTR00000134,369.8,2025-01-20,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0136,UTR00000136,317.36,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0137,UTR00000137,201.3,2025-01-23,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0139,UTR00000139,458.76,2025-01-19,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0141,UTR00000141,2844.73,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0142,UTR00000142,579.63,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0144,UTR00000144,1781.73,2025-01-20,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0145,UTR00000145,341.44,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0146,UTR00000146,839.11,2025-01-21,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0147,UTR00000147,848.18,2025-01-20,IN,RAZORPAY SOFTWARE PVT LTD,,
BNK-0148,UTR00000148,464.08,2025-01-20,IN,RAZORPAY SOFTWARE PVT LTD,,
