fee_id,payment_id,fee_type,amount,tax_amount,rate_card_id,reversal_of_fee_id,source
FEE-0001,PAY-0001,MDR,36.29,6.53,RC-CARD-2025,,
FEE-0002,PAY-0002,MDR,4.17,0.75,RC-UPI-2025,,
FEE-0003,PAY-0003,MDR,54.61,9.83,RC-CARD-2025,,
FEE-0004,PAY-0004,MDR,3.46,0.62,RC-UPI-2025,,
FEE-0005,PAY-0005,MDR,5.98,1.08,RC-CARD-2025,,
FEE-0006,PAY-0006,MDR,4.57,0.82,RC-UPI-2025,,
FEE-0007,PAY-0007,MDR,19.78,3.56,RC-UPI-2025,,
FEE-0008,PAY-0008,MDR,8.58,1.54,RC-CARD-2025,,
FEE-0009,PAY-0009,MDR,3.81,0.69,RC-UPI-2025,,
FEE-0010,PAY-0010,MDR,2.7,0.49,RC-UPI-2025,,
FEE-0011,PAY-0011,MDR,6.04,1.09,RC-CARD-2025,,
FEE-0012,PAY-0012,MDR,39.85,7.17,RC-CARD-2025,,
FEE-0013,PAY-0013,MDR,2.85,0.51,RC-UPI-2025,,
FEE-0014,PAY-0014,MDR,30.23,5.44,RC-CARD-2025,,
FEE-0015,PAY-0015,MDR,12.0,2.16,RC-NB-2025,,
FEE-0016,PAY-0016,MDR,21.24,3.82,RC-CARD-2025,,
FEE-0017,PAY-0017,MDR,7.88,1.42,RC-CARD-2025,,
FEE-0018,PAY-0018,MDR,12.0,2.16,RC-NB-2025,,
FEE-0019,PAY-0019,MDR,38.46,6.92,RC-CARD-2025,,
FEE-0020,PAY-0020,MDR,12.0,2.16,RC-NB-2025,,
FEE-0021,PAY-0021,MDR,7.73,1.39,RC-CARD-2025,,
FEE-0022,PAY-0022,MDR,12.92,2.33,RC-CARD-2025,,
FEE-0023,PAY-0023,MDR,8.55,1.54,RC-UPI-2025,,
FEE-0024,PAY-0024,MDR,401.27,72.23,RC-CARD-2025,,
FEE-0025,PAY-0025,MDR,58.27,10.49,RC-CARD-2025,,
FEE-0026,PAY-0026,MDR,12.19,2.19,RC-CARD-2025,,
FEE-0027,PAY-0027,MDR,3.67,0.66,RC-UPI-2025,,
FEE-0028,PAY-0028,MDR,91.43,16.46,RC-CARD-2025,,
FEE-0029,PAY-0029,MDR,10.52,1.89,RC-UPI-2025,,
FEE-0030,PAY-0030,MDR,11.81,2.13,RC-CARD-2025,,
FEE-0031,PAY-0031,MDR,15.35,2.76,RC-CARD-2025,,
FEE-0032,PAY-0032,MDR,15.44,2.78,RC-UPI-2025,,
FEE-0033,PAY-0033,MDR,91.15,16.41,RC-CARD-2025,,
FEE-0034,PAY-0034,MDR,5.01,0.9,RC-UPI-2025,,
FEE-0035,PAY-0035,MDR,4.38,0.79,RC-UPI-2025,,
FEE-0035-D,PAY-0035,MDR,4.38,0.79,RC-UPI-2025,,
FEE-0036,PAY-0036,MDR,17.33,3.12,RC-UPI-2025,,
FEE-0037,PAY-0037,MDR,28.47,5.12,RC-CARD-2025,,
FEE-0038,PAY-0038,MDR,87.55,15.76,RC-CARD-2025,,
FEE-0039,PAY-0039,MDR,6.16,1.11,RC-CARD-2025,,
FEE-0040,PAY-0040,MDR,9.24,1.66,RC-EMI-2025,,
FEE-0041,PAY-0041,MDR,9.29,1.67,RC-UPI-2025,,
FEE-0042,PAY-0042,MDR,12.0,2.16,RC-NB-2025,,
FEE-0043,PAY-0043,MDR,9.14,1.65,RC-CARD-2025,,
FEE-0044,PAY-0044,MDR,17.34,3.12,RC-WALLET-2025,,
FEE-0045,PAY-0045,MDR,3.91,0.7,RC-UPI-2025,,
FEE-0046,PAY-0046,MDR,3.59,0.65,RC-CARD-2025,,
FEE-0046-2,PAY-0046-2,MDR,2.39,0.43,RC-CARD-2025,,
FEE-0047,PAY-0047,MDR,14.66,2.64,RC-UPI-2025,,
FEE-0048,PAY-0048,MDR,12.0,2.16,RC-NB-2025,,
FEE-0048-2,PAY-0048-2,MDR,12.0,2.16,RC-NB-2025,,
FEE-0049,PAY-0049,MDR,18.47,3.32,RC-EMI-2025,,
FEE-0050,PAY-0050,MDR,3.33,0.6,RC-UPI-2025,,
FEE-0050-D,PAY-0050,MDR,3.33,0.6,RC-UPI-2025,,
FEE-0051,PAY-0051,MDR,12.97,2.33,RC-EMI-2025,,
FEE-0052,PAY-0052,MDR,15.23,2.74,RC-WALLET-2025,,
FEE-0053,PAY-0053,MDR,5.34,0.96,RC-UPI-2025,,
FEE-0054,PAY-0054,MDR,18.32,3.3,RC-WALLET-2025,,
FEE-0055,PAY-0055,MDR,12.13,2.18,RC-CARD-2025,,
FEE-0056,PAY-0056,MDR,41.51,7.47,RC-CARD-2025,,
FEE-0057,PAY-0057,MDR,6.67,1.2,RC-CARD-2025,,
FEE-0058,PAY-0058,MDR,16.87,3.04,RC-UPI-2025,,
FEE-0059,PAY-0059,MDR,41.35,7.44,RC-CARD-2025,,
FEE-0060,PAY-0060,MDR,6.65,1.2,RC-WALLET-2025,,
FEE-0061,PAY-0061,MDR,38.29,6.89,RC-EMI-2025,,
FEE-0062,PAY-0062,MDR,12.0,2.16,RC-NB-2025,,
FEE-0063,PAY-0063,MDR,12.0,2.16,RC-NB-2025,,
FEE-0064,PAY-0064,MDR,99.55,17.92,RC-CARD-2025,,
FEE-0065,PAY-0065,MDR,42.39,7.63,RC-WALLET-2025,,
FEE-0066,PAY-0066,MDR,7.72,1.39,RC-CARD-2025,,
FEE-0067,PAY-0067,MDR,64.1,11.54,RC-CARD-2025,,
FEE-0068,PAY-0068,MDR,12.0,2.16,RC-NB-2025,,
FEE-0069,PAY-0069,MDR,61.67,11.1,RC-CARD-2025,,
FEE-0070,PAY-0070,MDR,271.67,48.9,RC-EMI-2025,,
FEE-0071,PAY-0071,MDR,12.0,2.16,RC-NB-2025,,
FEE-0072,PAY-0072,MDR,3.43,0.62,RC-UPI-2025,,
FEE-0073,PAY-0073,MDR,106.6,19.19,RC-CARD-2025,,
FEE-0074,PAY-0074,MDR,9.19,1.65,RC-UPI-2025,,
FEE-0075,PAY-0075,MDR,7.83,1.41,RC-CARD-2025,,
FEE-0076,PAY-0076,MDR,2.5,0.45,RC-UPI-2025,,
FEE-0077,PAY-0077,MDR,21.02,3.78,RC-UPI-2025,,
