payment_id,order_id,gateway_payment_id,amount,method,status,currency,captured_at,settled,source
PAY-0001,ORD-1,pay_000001axkkkk,1230.45,CARD,CAPTURED,,2025-01-05T00:17:00Z,,
PAY-0002,ORD-2,pay_000002axkkkkkkkk,1043.57,UPI,CAPTURED,,2025-01-05T04:01:04Z,,
PAY-0003,ORD-3,pay_000003axkkkkk,2730.41,CARD,CAPTURED,,2025-01-05T00:55:32Z,,
PAY-0004,ORD-4,pay_000004axkkkkkk,614.19,UPI,CAPTURED,,2025-01-05T02:02:16Z,,
PAY-0005,ORD-5,pay_000005axkkkkkkk,299.0,CARD,CAPTURED,,2025-01-05T10:40:28Z,,
PAY-0006,ORD-6,pay_000006axkkkkkkkk,1141.49,UPI,CAPTURED,,2025-01-05T08:10:34Z,,
PAY-0007,ORD-7,pay_000007axkkkkk,4944.97,UPI,CAPTURED,,2025-01-05T09:40:58Z,,
PAY-0008,ORD-8,pay_000008axkkkk,428.95,CARD,CAPTURED,,2025-01-05T11:35:01Z,,
PAY-0009,ORD-9,pay_000009axkkkkkkkkk,648.52,UPI,CAPTURED,,2025-01-05T12:35:11Z,,
PAY-0010,ORD-10,pay_000010axkkkkk,674.79,UPI,CAPTURED,,2025-01-05T19:55:03Z,,
PAY-0011,ORD-11,pay_000011axkkkkkkkkkk,302.13,CARD,CAPTURED,,2025-01-05T16:05:42Z,,
PAY-0012,ORD-12,pay_000012axkkkkk,1992.45,CARD,CAPTURED,,2025-01-05T23:03:10Z,,
PAY-0013,ORD-13,pay_000013axkkkk,712.3,UPI,CAPTURED,,2025-01-06T01:42:59Z,,
PAY-0014,ORD-14,pay_000014axkkkkk,1511.29,CARD,CAPTURED,,2025-01-06T01:48:11Z,,
PAY-0015,ORD-15,pay_000015axkkkk,522.09,NETBANKING,CAPTURED,,2025-01-05T23:28:42Z,,
PAY-0016,ORD-16,pay_000016axkkkkk,1062.01,CARD,CAPTURED,,2025-01-06T05:59:35Z,,
PAY-0017,ORD-17,pay_000017axkkkk,394.13,CARD,CAPTURED,,2025-01-06T06:18:23Z,,
PAY-0018,ORD-18,pay_000018axkkkkk,390.76,NETBANKING,CAPTURED,,2025-01-06T04:46:12Z,,
PAY-0019,ORD-19,pay_000019axkkkkk,1922.78,CARD,CAPTURED,,2025-01-06T06:35:59Z,,
PAY-0020,ORD-20,pay_000020axkkkkkkkkkk,1495.96,NETBANKING,CAPTURED,,2025-01-06T09:06:46Z,,
PAY-0021,ORD-21,pay_000021axkkkk,386.48,CARD,CAPTURED,,2025-01-06T12:00:52Z,,
