refund_id,payment_id,order_id,gateway_refund_id,status,amount,refund_reason,processed_at
REF-0014,PAY-0014,ORD-14,rfnd_000014,PROCESSED,501.93,customer request,2025-01-11T01:38:11Z
REF-0016,PAY-0016,ORD-16,rfnd_000016,PROCESSED,441.43,customer request,2025-01-09T05:50:35Z
REF-0017,PAY-0017,ORD-17,rfnd_000017,PROCESSED,178.49,customer request,2025-01-07T06:12:23Z
REF-0020,PAY-0020,ORD-20,rfnd_000020,PROCESSED,595.8,customer request,2025-01-11T08:54:46Z
REF-0025,PAY-0025,ORD-25,rfnd_000025,PROCESSED,1329.56,customer request,2025-01-09T17:47:27Z
REF-0035,PAY-0035,ORD-35,rfnd_000035,PROCESSED,302.52,customer request,2025-01-08T17:53:31Z
REF-0038,PAY-0038,ORD-38,rfnd_000038,PROCESSED,1412.51,customer request,2025-01-12T02:08:05Z
REF-0041,PAY-0041,ORD-41,rfnd_000041,PROCESSED,650.62,customer request,2025-01-09T07:15:02Z
REF-0048,PAY-0048,ORD-48,rfnd_000048,PROCESSED,3040.04,customer request,2025-01-10T15:09:39Z
REF-0054,PAY-0054,ORD-54,rfnd_000054,PROCESSED,281.19,customer request,2025-01-10T01:28:07Z
REF-0056,PAY-0056,ORD-56,rfnd_000056,PROCESSED,890.02,customer request,2025-01-14T12:05:53Z
REF-0069,PAY-0069,ORD-69,rfnd_000069,PROCESSED,1500.2,customer request,2025-01-12T07:43:31Z
REF-0077,PAY-0077,ORD-77,rfnd_000077,PROCESSED,2155.12,customer request,2025-01-14T02:39:11Z
REF-0084,PAY-0084,ORD-84,rfnd_000084,PROCESSED,372.5,customer request,2025-01-14T10:15:05Z
REF-0086,PAY-0086,ORD-86,rfnd_000086,PROCESSED,121.19,customer request,2025-01-15T15:26:24Z
REF-0087,PAY-0087,ORD-87,rfnd_000087,PROCESSED,967.42,customer request,2025-01-15T23:06:21Z
REF-0089,PAY-0089,ORD-89,rfnd_000089,PROCESSED,1312.77,customer request,2025-01-15T22:28:29Z
REF-0104,PAY-0104,ORD-104,rfnd_000104,PROCESSED,372.64,customer request,2025-01-14T00:07:59Z
REF-0106,PAY-0106,ORD-106,rfnd_000106,PROCESSED,913.61,customer request,2025-01-18T09:03:31Z
REF-0114,PAY-0114,ORD-114,rfnd_000114,PROCESSED,625.24,customer request,2025-01-17T20:55:09Z
REF-0118,PAY-0118,ORD-118,rfnd_000118,PROCESSED,87.5,customer request,2025-01-18T04:03:10Z
