settlement_id,payment_id,amount,fee_deducted,tax_deducted,utr,expected_credit_date,settled_at,status,source
SET-0001,PAY-0001,1189.73,36.29,6.53,UTR00000001,2025-01-08,2025-01-08T00:00:00Z,PROCESSED,
SET-0002,PAY-0002,1038.65,4.17,0.75,UTR00000002,2025-01-08,2025-01-08T03:43:04Z,PROCESSED,
SET-0003,PAY-0003,2665.97,54.61,9.83,UTR00000003,2025-01-08,2025-01-08T00:48:32Z,PROCESSED,
SET-0004,PAY-0004,610.29,3.46,0.62,UTR00000004,2025-01-08,2025-01-09T01:55:16Z,PROCESSED,
SET-0005,PAY-0005,291.94,5.98,1.08,UTR00000005,2025-01-08,2025-01-09T10:20:28Z,PROCESSED,
SET-0006,PAY-0006,1136.1,4.57,0.82,UTR00000006,2025-01-08,2025-01-09T07:59:34Z,PROCESSED,
SET-0007,PAY-0007,4921.63,19.78,3.56,UTR00000007,2025-01-08,2025-01-09T09:36:58Z,PROCESSED,
SET-0008,PAY-0008,418.83,8.58,1.54,UTR00000008,2025-01-08,2025-01-08T11:19:01Z,PROCESSED,
SET-0009,PAY-0009,644.24,3.81,0.69,UTR00000009,2025-01-08,2025-01-08T12:27:11Z,PROCESSED,
SET-0010,PAY-0010,671.6,2.7,0.49,UTR00000010,2025-01-08,2025-01-09T19:47:03Z,PROCESSED,
SET-0011,PAY-0011,295.0,6.04,1.09,UTR00000011,2025-01-08,2025-01-09T15:54:42Z,PROCESSED,
SET-0013,PAY-0013,708.94,2.85,0.51,UTR00000013,2025-01-09,2025-01-09T01:30:59Z,PROCESSED,
SET-0014,PAY-0014,983.73,30.23,5.44,UTR00000014,2025-01-09,2025-01-10T01:38:11Z,PROCESSED,
SET-0015,PAY-0015,507.93,12.0,2.16,UTR00000015,2025-01-08,2025-01-08T23:21:42Z,PROCESSED,
SET-0016,PAY-0016,595.52,21.24,3.82,UTR00000016,2025-01-09,2025-01-09T05:50:35Z,PROCESSED,
SET-0017,PAY-0017,206.34,7.88,1.42,UTR00000017,2025-01-09,2025-01-09T06:12:23Z,PROCESSED,
SET-0018,PAY-0018,376.6,12.0,2.16,UTR00000018,2025-01-09,2025-01-09T04:33:12Z,PROCESSED,
SET-0019,PAY-0019,1877.4,38.46,6.92,UTR00000019,2025-01-09,2025-01-10T06:25:59Z,PROCESSED,
SET-0020,PAY-0020,890.78,12.0,2.16,UTR00000020,2025-01-09,2025-01-10T08:54:46Z,PROCESSED,
SET-0021,PAY-0021,377.36,7.73,1.39,UTR00000021,2025-01-09,2025-01-09T11:56:52Z,PROCESSED,
SET-0022,PAY-0022,630.84,12.92,2.33,UTR00000022,2025-01-09,2025-01-09T13:58:24Z,PROCESSED,
SET-0023,PAY-0023,2128.56,8.55,1.54,UTR00000023,2025-01-09,2025-01-10T18:21:12Z,PROCESSED,
SET-0024,PAY-0024,19589.83,401.27,72.23,UTR00000024,2025-01-09,2025-01-09T21:07:51Z,PROCESSED,
SET-0026,PAY-0026,595.0,12.19,2.19,UTR00000026,2025-01-10,2025-01-10T00:33:20Z,PROCESSED,
SET-0027,PAY-0027,913.85,3.67,0.66,UTR00000027,2025-01-09,2025-01-10T23:09:18Z,PROCESSED,
SET-0028,PAY-0028,4463.84,91.43,16.46,UTR00000028,2025-01-10,2025-01-10T05:45:37Z,PROCESSED,
SET-0029,PAY-0029,2617.93,10.52,1.89,UTR00000029,2025-01-10,2025-01-11T07:03:23Z,PROCESSED,
SET-0030,PAY-0030,576.77,11.81,2.13,UTR00000030,2025-01-10,2025-01-11T09:25:21Z,PROCESSED,
SET-0031,PAY-0031,749.35,15.35,2.76,UTR00000031,2025-01-10,2025-01-11T09:53:48Z,PROCESSED,
SET-0032,PAY-0032,3842.11,15.44,2.78,UTR00000032,2025-01-10,2025-01-10T10:39:11Z,PROCESSED,
SET-0033,PAY-0033,4449.96,91.15,16.41,UTR00000033,2025-01-10,2025-01-10T10:44:20Z,PROCESSED,
SET-0034,PAY-0034,1247.75,5.01,0.9,UTR00000034,2025-01-10,2025-01-11T14:43:09Z,PROCESSED,
SET-0035,PAY-0035,783.01,4.38,0.79,UTR00000035,2025-01-10,2025-01-10T17:53:31Z,PROCESSED,
SET-0036,PAY-0036,4018.73,17.33,3.12,UTR00000036,2025-01-10,2025-01-11T16:57:30Z,PROCESSED,
SET-0037,PAY-0037,1389.9,28.47,5.12,UTR00000037,2025-01-10,2025-01-11T23:41:30Z,PROCESSED,
SET-0038,PAY-0038,2889.78,87.55,15.76,UTR00000038,2025-01-11,2025-01-12T02:08:05Z,PROCESSED,
SET-0039,PAY-0039,300.81,6.16,1.11,UTR00000039,2025-01-10,2025-01-11T20:10:44Z,PROCESSED,
SET-0040,PAY-0040,382.31,9.24,1.66,UTR00000040,2025-01-11,2025-01-12T04:55:28Z,PROCESSED,
SET-0041,PAY-0041,1180.13,9.29,1.67,UTR00000041,2025-01-11,2025-01-12T07:15:02Z,PROCESSED,
SET-0042,PAY-0042,284.84,12.0,2.16,UTR00000042,2025-01-11,2025-01-11T03:16:00Z,PROCESSED,
SET-0043,PAY-0043,446.17,9.14,1.65,UTR00000043,2025-01-11,2025-01-12T10:03:58Z,PROCESSED,
SET-0044,PAY-0044,892.18,17.34,3.12,UTR00000044,2025-01-11,2025-01-12T09:27:22Z,PROCESSED,
SET-0045,PAY-0045,972.37,3.91,0.7,UTR00000045,2025-01-11,2025-01-11T10:36:16Z,PROCESSED,
SET-0046,PAY-0046,175.16,3.59,0.65,UTR00000046,2025-01-11,2025-01-12T11:56:04Z,PROCESSED,
SET-0046-2,PAY-0046-2,116.78,2.39,0.43,UTR00000046B,2025-01-11,2025-01-12T11:56:04Z,PROCESSED,
SET-0047,PAY-0047,3647.78,14.66,2.64,UTR00000047,2025-01-11,2025-01-12T12:43:05Z,PROCESSED,
SET-0048,PAY-0048,617.48,12.0,2.16,UTR00000048,2025-01-11,2025-01-12T15:09:39Z,PROCESSED,
SET-0048-2,PAY-0048-2,2433.63,12.0,2.16,UTR00000048B,2025-01-11,2025-01-11T15:09:39Z,PROCESSED,
SET-0049,PAY-0049,763.99,18.47,3.32,UTR00000049,2025-01-11,2025-01-12T22:02:54Z,PROCESSED,
SET-0050,PAY-0050,823.89,3.33,0.6,UTR00000050,2025-01-11,2025-01-12T20:03:38Z,PROCESSED,
SET-0051,PAY-0051,343.18,12.97,2.33,UTR00000051,2025-01-11,2025-01-11T19:49:30Z,PROCESSED,
SET-0052,PAY-0052,783.76,15.23,2.74,UTR00000052,2025-01-11,2025-01-12T21:38:13Z,PROCESSED,
SET-0053,PAY-0053,1328.05,5.34,0.96,UTR00000053,2025-01-12,2025-01-12T02:08:55Z,PROCESSED,
SET-0054,PAY-0054,661.24,18.32,3.3,UTR00000054,2025-01-12,2025-01-13T01:28:07Z,PROCESSED,
SET-0055,PAY-0055,592.18,12.13,2.18,UTR00000055,2025-01-12,2025-01-13T05:45:14Z,PROCESSED,
SET-0056,PAY-0056,1136.36,41.51,7.47,UTR00000056,2025-01-12,2025-01-13T12:05:53Z,PROCESSED,
SET-0057,PAY-0057,325.77,6.67,1.2,UTR00000057,2025-01-12,2025-01-12T09:24:46Z,PROCESSED,
SET-0058,PAY-0058,4196.74,16.87,3.04,UTR00000058,2025-01-12,2025-01-13T13:40:30Z,PROCESSED,
SET-0059,PAY-0059,2018.94,41.35,7.44,UTR00000059,2025-01-12,2025-01-12T12:29:08Z,PROCESSED,
SET-0060,PAY-0060,342.08,6.65,1.2,UTR00000060,2025-01-12,2025-01-12T19:19:20Z,PROCESSED,
SET-0061,PAY-0061,1584.14,38.29,6.89,UTR00000061,2025-01-12,2025-01-12T14:16:08Z,PROCESSED,
SET-0062,PAY-0062,15430.3,12.0,2.16,UTR00000062,2025-01-12,2025-01-12T22:24:49Z,PROCESSED,
SET-0063,PAY-0063,1467.37,12.0,2.16,UTR00000063,2025-01-12,2025-01-13T21:51:04Z,PROCESSED,
SET-0064,PAY-0064,4860.18,99.55,17.92,UTR00000064,2025-01-13,2025-01-14T00:26:54Z,PROCESSED,
SET-0065,PAY-0065,1562.94,42.39,7.63,UTR00000065,2025-01-12,2025-01-12T22:36:05Z,PROCESSED,
SET-0066,PAY-0066,376.83,7.72,1.39,UTR00000066,2025-01-13,2025-01-13T02:48:31Z,PROCESSED,
SET-0067,PAY-0067,3129.19,64.1,11.54,UTR00000067,2025-01-13,2025-01-14T01:58:42Z,PROCESSED,
SET-0068,PAY-0068,284.84,12.0,2.16,UTR00000068,2025-01-13,2025-01-14T08:11:01Z,PROCESSED,
SET-0069,PAY-0069,1540.5,61.67,11.1,UTR00000069,2025-01-13,2025-01-13T07:43:31Z,PROCESSED,
SET-0070,PAY-0070,11240.02,271.67,48.9,UTR00000070,2025-01-13,2025-01-14T14:30:14Z,PROCESSED,
SET-0071,PAY-0071,1159.98,12.0,2.16,UTR00000071,2025-01-13,2025-01-13T14:34:29Z,PROCESSED,
SET-0072,PAY-0072,853.54,3.43,0.62,UTR00000072,2025-01-13,2025-01-14T16:22:49Z,PROCESSED,
SET-0073,PAY-0073,5204.29,106.6,19.19,UTR00000073,2025-01-13,2025-01-13T20:29:31Z,PROCESSED,
SET-0074,PAY-0074,1723.82,9.19,1.65,UTR00000074,2025-01-13,2025-01-14T17:50:17Z,PROCESSED,
SET-0075,PAY-0075,382.3,7.83,1.41,UTR00000075,2025-01-13,2025-01-14T21:41:58Z,PROCESSED,
SET-0076,PAY-0076,585.3,2.5,0.45,UTR00000076,2025-01-13,2025-01-14T20:05:32Z,PROCESSED,
SET-0077,PAY-0077,2969.53,21.02,3.78,UTR00000077,2025-01-14,2025-01-15T02:39:11Z,PROCESSED,
SET-0078,PAY-0078,429.26,8.79,1.58,UTR00000078,2025-01-13,2025-01-14T22:46:16Z,PROCESSED,
SET-0079,PAY-0079,291.94,5.98,1.08,UTR00000079,2025-01-14,2025-01-15T00:27:10Z,PROCESSED,
SET-0080,PAY-0080,1906.44,41.84,7.53,UTR00000080,2025-01-14,2025-01-14T07:57:10Z,PROCESSED,
SET-0081,PAY-0081,645.41,2.59,0.47,UTR00000081,2025-01-14,2025-01-14T05:54:21Z,PROCESSED,
SET-0082,PAY-0082,1372.4,18.34,3.3,UTR00000082,2025-01-14,2025-01-15T12:45:58Z,PROCESSED,
SET-0083,PAY-0083,3889.73,79.67,14.34,UTR00000083,2025-01-14,2025-01-15T10:15:41Z,PROCESSED,
SET-0084,PAY-0084,1168.47,37.03,6.67,UTR00000084,2025-01-14,2025-01-14T10:15:05Z,PROCESSED,
SET-0085,PAY-0085,321.26,6.58,1.18,UTR00000085,2025-01-14,2025-01-15T19:12:31Z,PROCESSED,
SET-0086,PAY-0086,217.56,6.89,1.24,UTR00000086,2025-01-14,2025-01-14T15:26:24Z,PROCESSED,
SET-0087,PAY-0087,2099.48,12.31,2.22,UTR00000087,2025-01-14,2025-01-14T23:06:21Z,PROCESSED,
SET-0088,PAY-0088,4274.98,87.57,15.76,UTR00000088,2025-01-14,2025-01-14T18:02:10Z,PROCESSED,
SET-0089,PAY-0089,1909.26,65.46,11.78,UTR00000089,2025-01-14,2025-01-15T22:28:29Z,PROCESSED,
SET-0090,PAY-0090,1325.03,25.75,4.63,UTR00000090,2025-01-14,2025-01-14T23:26:34Z,PROCESSED,
SET-0091,PAY-0091,2026.99,10.79,1.94,UTR00000091,2025-01-15,2025-01-16T02:56:15Z,PROCESSED,
SET-0092,PAY-0092,1351.74,5.43,0.98,UTR00000092,2025-01-15,2025-01-15T06:29:41Z,PROCESSED,
SET-0093,PAY-0093,4987.81,20.05,3.61,UTR00000093,2025-01-15,2025-01-15T10:11:55Z,PROCESSED,
SET-0094,PAY-0094,522.44,2.1,0.38,UTR00000094,2025-01-15,2025-01-15T07:49:30Z,PROCESSED,
SET-0095,PAY-0095,669.94,2.69,0.48,UTR00000095,2025-01-15,2025-01-16T07:52:57Z,PROCESSED,
SET-0096,PAY-0096,10555.25,216.21,38.92,UTR00000096,2025-01-15,2025-01-15T11:40:11Z,PROCESSED,
SET-0097,PAY-0097,1497.65,36.2,6.52,UTR00000097,2025-01-15,2025-01-15T13:25:54Z,PROCESSED,
SET-0098,PAY-0098,1447.07,5.82,1.05,UTR00000098,2025-01-15,2025-01-15T14:00:10Z,PROCESSED,
SET-0099,PAY-0099,615.35,12.6,2.27,UTR00000099,2025-01-15,2025-01-15T20:05:38Z,PROCESSED,
SET-0100,PAY-0100,2146.44,43.97,7.91,UTR00000100,2025-01-15,2025-01-15T18:19:18Z,PROCESSED,
SET-0101,PAY-0101,2013.77,17.12,3.08,UTR00000101,2025-01-16,2025-01-16T00:10:40Z,PROCESSED,
SET-0102,PAY-0102,2417.56,46.99,8.46,UTR00000102,2025-01-16,2025-01-16T01:54:33Z,PROCESSED,
SET-0103,PAY-0103,3530.11,12.0,2.16,UTR00000103,2025-01-16,2025-01-16T03:29:02Z,PROCESSED,
SET-0104,PAY-0104,516.34,3.57,0.64,UTR00000104,2025-01-16,2025-01-17T00:07:59Z,PROCESSED,
SET-0105,PAY-0105,443.52,9.08,1.63,UTR00000105,2025-01-16,2025-01-17T06:55:32Z,PROCESSED,
SET-0106,PAY-0106,2507.66,69.71,12.55,UTR00000106,2025-01-16,2025-01-17T09:03:31Z,PROCESSED,
SET-0107,PAY-0107,899.0,18.41,3.31,UTR00000107,2025-01-16,2025-01-16T06:44:04Z,PROCESSED,
SET-0108,PAY-0108,317.02,6.49,1.17,UTR00000108,2025-01-16,2025-01-16T11:56:12Z,PROCESSED,
SET-0109,PAY-0109,1174.37,4.72,0.85,UTR00000109,2025-01-16,2025-01-17T15:36:34Z,PROCESSED,
SET-0110,PAY-0110,682.44,13.98,2.52,UTR00000110,2025-01-16,2025-01-17T13:05:56Z,PROCESSED,
SET-0111,PAY-0111,418.5,8.57,1.54,UTR00000111,2025-01-16,2025-01-16T14:15:21Z,PROCESSED,
SET-0112,PAY-0112,1749.42,7.03,1.27,UTR00000112,2025-01-16,2025-01-17T18:52:27Z,PROCESSED,
SET-0113,PAY-0113,992.83,20.34,3.66,UTR00000113,2025-01-16,2025-01-16T20:01:05Z,PROCESSED,
SET-0114,PAY-0114,1470.36,8.41,1.51,UTR00000114,2025-01-16,2025-01-16T20:55:09Z,PROCESSED,
SET-0115,PAY-0115,848.41,20.51,3.69,UTR00000115,2025-01-17,2025-01-18T02:11:08Z,PROCESSED,
SET-0116,PAY-0116,343.09,12.0,2.16,UTR00000116,2025-01-17,2025-01-18T04:31:18Z,PROCESSED,
SET-0117,PAY-0117,1899.21,36.91,6.64,UTR00000117,2025-01-17,2025-01-17T05:13:32Z,PROCESSED,
SET-0118,PAY-0118,208.66,1.2,0.22,UTR00000118,2025-01-17,2025-01-17T04:03:10Z,PROCESSED,
SET-0119,PAY-0119,2257.96,46.25,8.32,UTR00000119,2025-01-17,2025-01-18T10:11:00Z,PROCESSED,
SET-0120,PAY-0120,4187.33,85.77,15.44,UTR00000120,2025-01-17,2025-01-18T08:48:05Z,PROCESSED,
SET-0121,PAY-0121,943.41,3.79,0.68,UTR00000121,2025-01-17,2025-01-18T15:25:09Z,PROCESSED,
SET-0122,PAY-0122,1478.71,28.74,5.17,UTR00000122,2025-01-17,2025-01-18T16:38:20Z,PROCESSED,
SET-0123,PAY-0123,592.16,14.31,2.58,UTR00000123,2025-01-17,2025-01-18T18:36:23Z,PROCESSED,
SET-0124,PAY-0124,1011.31,28.36,5.1,UTR00000124,2025-01-17,2025-01-18T13:57:01Z,PROCESSED,
SET-0125,PAY-0125,5771.48,23.2,4.18,UTR00000125,2025-01-17,2025-01-17T17:25:26Z,PROCESSED,
SET-0127,PAY-0127,670.29,13.73,2.47,UTR00000127,2025-01-17,2025-01-17T19:25:37Z,PROCESSED,
SET-0128,PAY-0128,490.35,10.04,1.81,UTR00000128,2025-01-18,2025-01-18T04:21:37Z,PROCESSED,
SET-0129,PAY-0129,1392.38,6.0,1.08,UTR00000129,2025-01-18,2025-01-18T01:48:07Z,PROCESSED,
SET-0130,PAY-0130,1509.06,30.91,5.56,UTR00000130,2025-01-18,2025-01-18T04:28:48Z,PROCESSED,
SET-0131,PAY-0131,1273.33,26.08,4.69,UTR00000131,2025-01-18,2025-01-19T05:09:49Z,PROCESSED,
SET-0132,PAY-0132,533.23,2.14,0.39,UTR00000132,2025-01-18,2025-01-18T05:13:36Z,PROCESSED,
SET-0133,PAY-0133,1933.66,39.61,7.13,UTR00000133,2025-01-18,2025-01-19T08:26:34Z,PROCESSED,
SET-0134,PAY-0134,369.8,7.57,1.36,UTR00000134,2025-01-18,2025-01-19T13:34:58Z,PROCESSED,
SET-0136,PAY-0136,317.36,6.5,1.17,UTR00000136,2025-01-18,2025-01-19T18:45:02Z,PROCESSED,
SET-0137,PAY-0137,201.3,6.25,1.12,UTR00000137,2025-01-18,2025-01-19T16:58:41Z,PROCESSED,
SET-0139,PAY-0139,458.76,9.4,1.69,UTR00000139,2025-01-18,2025-01-18T23:52:32Z,PROCESSED,
SET-0141,PAY-0141,2844.73,11.43,2.06,UTR00000141,2025-01-19,2025-01-20T01:18:24Z,PROCESSED,
SET-0142,PAY-0142,579.63,2.33,0.42,UTR00000142,2025-01-19,2025-01-20T05:27:16Z,PROCESSED,
SET-0143,PAY-0143,1994.47,63.11,11.36,UTR00000143,2025-01-19,2025-01-19T05:40:40Z,PROCESSED,
SET-0144,PAY-0144,1781.73,9.66,1.74,UTR00000144,2025-01-19,2025-01-19T04:41:58Z,PROCESSED,
SET-0145,PAY-0145,341.44,12.0,2.16,UTR00000145,2025-01-19,2025-01-20T07:42:29Z,PROCESSED,
