order_id,order_number,customer_id,net_amount,status,placed_at,gateway_order_id,source
ORD-1,#1001,CUS-0040,1230.45,PAID,,order_000001,
ORD-2,#1002,CUS-0236,1043.57,PAID,,order_000002,
ORD-3,#1003,CUS-0069,2730.41,PAID,,order_000003,
ORD-4,#1004,CUS-0157,614.19,PAID,,order_000004,
ORD-5,#1005,CUS-0125,299.0,PAID,,order_000005,
ORD-6,#1006,CUS-0071,1141.49,PAID,,order_000006,
ORD-7,#1007,CUS-0105,4944.97,PAID,,order_000007,
ORD-8,#1008,CUS-0126,428.95,PAID,,order_000008,
ORD-9,#1009,CUS-0079,648.52,PAID,,order_000009,
ORD-10,#1010,CUS-0191,674.79,PAID,,order_000010,
ORD-11,#1011,CUS-0060,302.13,PAID,,order_000011,
ORD-12,#1012,CUS-0177,1992.45,PAID,,order_000012,
ORD-13,#1013,CUS-0195,712.3,PAID,,order_000013,
ORD-14,#1014,CUS-0059,1511.29,PAID,,order_000014,
ORD-15,#1015,CUS-0223,522.09,PAID,,order_000015,
ORD-16,#1016,CUS-0248,1062.01,PAID,,order_000016,
ORD-17,#1017,CUS-0039,394.13,PAID,,order_000017,
ORD-18,#1018,CUS-0153,390.76,PAID,,order_000018,
ORD-19,#1019,CUS-0114,1922.78,PAID,,order_000019,
ORD-20,#1020,CUS-0243,1495.96,PAID,,order_000020,
ORD-21,#1021,CUS-0062,386.48,PAID,,order_000021,
ORD-22,#1022,CUS-0121,646.09,PAID,,order_000022,
ORD-23,#1023,CUS-0019,2138.65,PAID,,order_000023,
ORD-24,#1024,CUS-0109,20063.33,PAID,,order_000024,
ORD-25,#1025,CUS-0019,2913.59,PAID,,order_000025,
ORD-26,#1026,CUS-0113,609.38,PAID,,order_000026,
ORD-27,#1027,CUS-0139,918.18,PAID,,order_000027,
ORD-28,#1028,CUS-0024,4571.73,PAID,,order_000028,
ORD-29,#1029,CUS-0196,2630.34,PAID,,order_000029,
ORD-30,#1030,CUS-0235,590.71,PAID,,order_000030,
ORD-31,#1031,CUS-0121,767.46,PAID,,order_000031,
ORD-32,#1032,CUS-0106,3860.33,PAID,,order_000032,
ORD-33,#1033,CUS-0081,4557.52,PAID,,order_000033,
ORD-34,#1034,CUS-0001,1253.66,PAID,,order_000034,
ORD-35,#1035,CUS-0093,1094.66,PAID,,order_000035,
ORD-36,#1036,CUS-0069,4333.42,PAID,,order_000036,
ORD-37,#1037,CUS-0032,1423.49,PAID,,order_000037,
ORD-38,#1038,CUS-0142,4377.35,PAID,,order_000038,
ORD-39,#1039,CUS-0214,308.08,PAID,,order_000039,
ORD-40,#1040,CUS-0124,393.21,PAID,,order_000040,
ORD-41,#1041,CUS-0236,1838.76,PAID,,order_000041,
ORD-42,#1042,CUS-0198,299.0,PAID,,order_000042,
ORD-43,#1043,CUS-0211,456.96,PAID,,order_000043,
ORD-44,#1044,CUS-0126,912.64,PAID,,order_000044,
ORD-45,#1045,CUS-0196,976.98,PAID,,order_000045,
ORD-46,#1046,CUS-0179,299.0,PAID,,order_000046,
ORD-47,#1047,CUS-0191,3665.08,PAID,,order_000047,
ORD-48,#1048,CUS-0203,6119.47,PAID,,order_000048,
ORD-49,#1049,CUS-0129,785.78,PAID,,order_000049,
ORD-50,#1050,CUS-0026,831.75,PAID,,order_000050,
ORD-51,#1051,CUS-0168,357.66,PAID,,order_000051,
ORD-52,#1052,CUS-0021,801.73,PAID,,order_000052,
ORD-53,#1053,CUS-0195,1334.35,PAID,,order_000053,
ORD-54,#1054,CUS-0176,964.05,PAID,,order_000054,
ORD-55,#1055,CUS-0224,606.49,PAID,,order_000055,
ORD-56,#1056,CUS-0136,2075.36,PAID,,order_000056,
ORD-57,#1057,CUS-0223,333.64,PAID,,order_000057,
ORD-58,#1058,CUS-0066,4216.65,PAID,,order_000058,
ORD-59,#1059,CUS-0140,2067.73,PAID,,order_000059,
ORD-60,#1060,CUS-0099,349.93,PAID,,order_000060,
ORD-61,#1061,CUS-0076,1629.32,PAID,,order_000061,
ORD-62,#1062,CUS-0176,15444.46,PAID,,order_000062,
ORD-63,#1063,CUS-0199,1481.53,PAID,,order_000063,
ORD-64,#1064,CUS-0159,4977.65,PAID,,order_000064,
ORD-65,#1065,CUS-0025,1610.84,PAID,,order_000065,
ORD-66,#1066,CUS-0149,385.94,PAID,,order_000066,
ORD-67,#1067,CUS-0045,3204.83,PAID,,order_000067,
ORD-68,#1068,CUS-0070,299.0,PAID,,order_000068,
ORD-69,#1069,CUS-0207,3083.47,PAID,,order_000069,
ORD-70,#1070,CUS-0194,11560.59,PAID,,order_000070,
ORD-71,#1071,CUS-0248,1232.19,PAID,,order_000071,
ORD-72,#1072,CUS-0068,857.59,PAID,,order_000072,
ORD-73,#1073,CUS-0150,5330.08,PAID,,order_000073,
ORD-74,#1074,CUS-0057,1734.26,PAID,,order_000074,
ORD-75,#1075,CUS-0167,391.54,PAID,,order_000075,
ORD-76,#1076,CUS-0095,625.05,PAID,,order_000076,
ORD-77,#1077,CUS-0107,5255.18,PAID,,order_000077,
ORD-78,#1078,CUS-0072,439.63,PAID,,order_000078,
ORD-79,#1079,CUS-0093,299.0,PAID,,order_000079,
ORD-80,#1080,CUS-0016,2092.2,PAID,,order_000080,
ORD-81,#1081,CUS-0164,648.47,PAID,,order_000081,
ORD-82,#1082,CUS-0018,1392.9,PAID,,order_000082,
ORD-83,#1083,CUS-0060,3983.74,PAID,,order_000083,
ORD-84,#1084,CUS-0038,1575.92,PAID,,order_000084,
ORD-85,#1085,CUS-0222,329.02,PAID,,order_000085,
ORD-86,#1086,CUS-0005,344.46,PAID,,order_000086,
ORD-87,#1087,CUS-0017,3077.56,PAID,,order_000087,
ORD-88,#1088,CUS-0129,4378.31,PAID,,order_000088,
ORD-89,#1089,CUS-0247,3273.01,PAID,,order_000089,
ORD-90,#1090,CUS-0183,1355.41,PAID,,order_000090,
ORD-91,#1091,CUS-0163,2039.25,PAID,,order_000091,
ORD-92,#1092,CUS-0076,1358.15,PAID,,order_000092,
ORD-93,#1093,CUS-0219,5011.47,PAID,,order_000093,
