run_id,case_id,llm_provider,llm_model,rollout_level,status,started_at,finished_at,proposed_action,executed_action,verification_status,recovered_amount,errors
RUN-9100AEC246B0,CASE-0091,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:56Z,2026-09-05T07:12:56Z,DRAFT_DISPUTE,DRAFT_DISPUTE,,0.0,financial exposure cap exceeded: 5755.61 > 5000.00
RUN-3C8A1939A6CC,CASE-0029,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:56Z,2026-09-05T07:12:56Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,2092.88,
RUN-178E6058D4F9,CASE-0061,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:56Z,2026-09-05T07:12:57Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,2058.75,
RUN-3185E62C24F1,CASE-0117,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:57Z,2026-09-05T07:12:57Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,1988.32,
RUN-C21CE0D60A64,CASE-0143,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:57Z,2026-09-05T07:12:57Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,1980.46,
RUN-95AFECFDD73A,CASE-0004,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:57Z,2026-09-05T07:12:58Z,DRAFT_DISPUTE,CREATE_DISPUTE,FINANCIAL_EFFECT_DETECTED,1167.26,
RUN-0DDEE32605E5,CASE-0108,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:58Z,2026-09-05T07:12:58Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,1722.34,
RUN-934FE5C80548,CASE-0121,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:58Z,2026-09-05T07:12:58Z,DRAFT_DISPUTE,CREATE_DISPUTE,FINANCIAL_EFFECT_DETECTED,969.86,
RUN-B12874126C9D,CASE-0007,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:58Z,2026-09-05T07:12:58Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,1541.86,
RUN-EF9AF0074FFE,CASE-0130,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:59Z,2026-09-05T07:12:59Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,1291.07,
RUN-2F2D2136673B,CASE-0046,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:12:59Z,2026-09-05T07:12:59Z,DRAFT_DISPUTE,CREATE_DISPUTE,IN_PROGRESS,0.0,
RUN-2481DF7F3CC5,CASE-0047,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:00Z,2026-09-05T07:13:00Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,1237.65,
RUN-DAC049EFE174,CASE-0081,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:00Z,2026-09-05T07:13:00Z,DRAFT_DISPUTE,CREATE_DISPUTE,FINANCIAL_EFFECT_DETECTED,710.23,
RUN-F7AFEC4298F4,CASE-0101,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:00Z,2026-09-05T07:13:00Z,DRAFT_DISPUTE,CREATE_DISPUTE,FAILED,0.0,
RUN-F3C49AC01D5D,CASE-0145,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:01Z,2026-09-05T07:13:01Z,DRAFT_DISPUTE,CREATE_DISPUTE,FINANCIAL_EFFECT_DETECTED,571.8,
RUN-8FF70547CAD1,CASE-0093,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:01Z,2026-09-05T07:13:01Z,DRAFT_DISPUTE,CREATE_DISPUTE,IN_PROGRESS,0.0,
RUN-6D957D193FD9,CASE-0092,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:02Z,2026-09-05T07:13:02Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,822.81,
RUN-23B77967155D,CASE-0032,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:02Z,2026-09-05T07:13:02Z,DRAFT_DISPUTE,CREATE_DISPUTE,IN_PROGRESS,0.0,
RUN-19A016E040C0,CASE-0026,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:03Z,2026-09-05T07:13:03Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,792.3,
RUN-5E79463737AC,CASE-0086,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:03Z,2026-09-05T07:13:03Z,DRAFT_DISPUTE,CREATE_DISPUTE,IN_PROGRESS,0.0,
RUN-D0CD6311A5E2,CASE-0083,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:04Z,2026-09-05T07:13:04Z,DRAFT_DISPUTE,CREATE_DISPUTE,FAILED,0.0,
RUN-53C2AD4E6734,CASE-0107,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:04Z,2026-09-05T07:13:04Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,675.77,
RUN-EFFBB6FDA446,CASE-0088,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:05Z,2026-09-05T07:13:05Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,607.89,
RUN-FACAECAFC6F0,CASE-0030,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:05Z,2026-09-05T07:13:05Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,571.83,
RUN-63702080F856,CASE-0042,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:06Z,2026-09-05T07:13:06Z,DRAFT_DISPUTE,CREATE_DISPUTE,FINANCIAL_EFFECT_DETECTED,330.14,
RUN-044DBA3BAF51,CASE-0122,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:06Z,2026-09-05T07:13:06Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,531.04,
RUN-0B8D3BC37A01,CASE-0147,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:07Z,2026-09-05T07:13:07Z,DRAFT_DISPUTE,CREATE_DISPUTE,FINANCIAL_EFFECT_DETECTED,287.63,
RUN-B905FBF18D50,CASE-0125,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:07Z,2026-09-05T07:13:07Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,474.13,
RUN-908823731031,CASE-0140,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:08Z,2026-09-05T07:13:08Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,433.87,
RUN-30846DAA5FC5,CASE-0062,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:08Z,2026-09-05T07:13:08Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,429.35,
RUN-8064615267E5,CASE-0098,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:09Z,2026-09-05T07:13:09Z,DRAFT_DISPUTE,CREATE_DISPUTE,IN_PROGRESS,0.0,
RUN-95DA0FC84DAD,CASE-0055,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:09Z,2026-09-05T07:13:09Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,310.74,
RUN-D6D60BAF0223,CASE-0040,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:10Z,2026-09-05T07:13:10Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,300.05,
RUN-9EE36255E1CE,CASE-0009,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:10Z,2026-09-05T07:13:10Z,DRAFT_DISPUTE,CREATE_DISPUTE,RECOVERY_VERIFIED,294.24,
RUN-F7811C7F215A,CASE-0052,simulated,gpt-4o-mini,5,COMPLETED,2026-09-05T07:13:11Z,2026-09-05T07:13:11Z,DRAFT_DISPUTE,CREATE_DISPUTE,FINANCIAL_EFFECT_DETECTED,175.57,
