approval_id,case_id,action_id,risk_level,amount,requested_by,status,requested_at,decided_by,decided_at,decision_note
APR-0001,CASE-0029,,L3,2092.88,AGENT,APPROVED,2026-09-05T07:12:56Z,finance-lead@example.com,2026-09-05T07:12:56Z,dev auto-decision
APR-0002,CASE-0061,,L3,2058.75,AGENT,APPROVED,2026-09-05T07:12:57Z,finance-lead@example.com,2026-09-05T07:12:57Z,dev auto-decision
APR-0003,CASE-0117,,L3,1988.32,AGENT,APPROVED,2026-09-05T07:12:57Z,finance-lead@example.com,2026-09-05T07:12:57Z,dev auto-decision
APR-0004,CASE-0143,,L3,1980.46,AGENT,APPROVED,2026-09-05T07:12:57Z,finance-lead@example.com,2026-09-05T07:12:57Z,dev auto-decision
APR-0005,CASE-0004,,L3,1945.43,AGENT,APPROVED,2026-09-05T07:12:58Z,finance-lead@example.com,2026-09-05T07:12:58Z,dev auto-decision
APR-0006,CASE-0108,,L3,1722.34,AGENT,APPROVED,2026-09-05T07:12:58Z,finance-lead@example.com,2026-09-05T07:12:58Z,dev auto-decision
APR-0007,CASE-0121,,L3,1616.44,AGENT,APPROVED,2026-09-05T07:12:58Z,finance-lead@example.com,2026-09-05T07:12:58Z,dev auto-decision
APR-0008,CASE-0007,,L3,1541.86,AGENT,APPROVED,2026-09-05T07:12:58Z,finance-lead@example.com,2026-09-05T07:12:58Z,dev auto-decision
APR-0009,CASE-0130,,L3,1291.07,AGENT,APPROVED,2026-09-05T07:12:59Z,finance-lead@example.com,2026-09-05T07:12:59Z,dev auto-decision
APR-0010,CASE-0046,,L3,1253.0,AGENT,APPROVED,2026-09-05T07:12:59Z,finance-lead@example.com,2026-09-05T07:12:59Z,dev auto-decision
APR-0011,CASE-0047,,L3,1237.65,AGENT,APPROVED,2026-09-05T07:13:00Z,finance-lead@example.com,2026-09-05T07:13:00Z,dev auto-decision
APR-0012,CASE-0081,,L3,1183.71,AGENT,APPROVED,2026-09-05T07:13:00Z,finance-lead@example.com,2026-09-05T07:13:00Z,dev auto-decision
APR-0013,CASE-0101,,L3,958.15,AGENT,APPROVED,2026-09-05T07:13:00Z,finance-lead@example.com,2026-09-05T07:13:00Z,dev auto-decision
APR-0014,CASE-0145,,L3,953.0,AGENT,APPROVED,2026-09-05T07:13:01Z,finance-lead@example.com,2026-09-05T07:13:01Z,dev auto-decision
APR-0015,CASE-0093,,L3,876.8,AGENT,APPROVED,2026-09-05T07:13:01Z,finance-lead@example.com,2026-09-05T07:13:01Z,dev auto-decision
APR-0016,CASE-0092,,L3,822.81,AGENT,APPROVED,2026-09-05T07:13:02Z,finance-lead@example.com,2026-09-05T07:13:02Z,dev auto-decision
APR-0017,CASE-0032,,L3,814.95,AGENT,APPROVED,2026-09-05T07:13:02Z,finance-lead@example.com,2026-09-05T07:13:02Z,dev auto-decision
APR-0018,CASE-0026,,L3,792.3,AGENT,APPROVED,2026-09-05T07:13:03Z,finance-lead@example.com,2026-09-05T07:13:03Z,dev auto-decision
APR-0019,CASE-0086,,L3,788.94,AGENT,APPROVED,2026-09-05T07:13:03Z,finance-lead@example.com,2026-09-05T07:13:03Z,dev auto-decision
APR-0020,CASE-0083,,L3,751.74,AGENT,APPROVED,2026-09-05T07:13:04Z,finance-lead@example.com,2026-09-05T07:13:04Z,dev auto-decision
APR-0021,CASE-0107,,L3,675.77,AGENT,APPROVED,2026-09-05T07:13:04Z,finance-lead@example.com,2026-09-05T07:13:04Z,dev auto-decision
APR-0022,CASE-0088,,L3,607.89,AGENT,APPROVED,2026-09-05T07:13:05Z,finance-lead@example.com,2026-09-05T07:13:05Z,dev auto-decision
APR-0023,CASE-0030,,L3,571.83,AGENT,APPROVED,2026-09-05T07:13:05Z,finance-lead@example.com,2026-09-05T07:13:05Z,dev auto-decision
APR-0024,CASE-0042,,L3,550.24,AGENT,APPROVED,2026-09-05T07:13:06Z,finance-lead@example.com,2026-09-05T07:13:06Z,dev auto-decision
APR-0025,CASE-0122,,L3,531.04,AGENT,APPROVED,2026-09-05T07:13:06Z,finance-lead@example.com,2026-09-05T07:13:06Z,dev auto-decision
APR-0026,CASE-0147,,L3,479.39,AGENT,APPROVED,2026-09-05T07:13:07Z,finance-lead@example.com,2026-09-05T07:13:07Z,dev auto-decision
APR-0027,CASE-0125,,L3,474.13,AGENT,APPROVED,2026-09-05T07:13:07Z,finance-lead@example.com,2026-09-05T07:13:07Z,dev auto-decision
APR-0028,CASE-0140,,L3,433.87,AGENT,APPROVED,2026-09-05T07:13:08Z,finance-lead@example.com,2026-09-05T07:13:08Z,dev auto-decision
APR-0029,CASE-0062,,L3,429.35,AGENT,APPROVED,2026-09-05T07:13:08Z,finance-lead@example.com,2026-09-05T07:13:08Z,dev auto-decision
APR-0030,CASE-0098,,L3,389.35,AGENT,APPROVED,2026-09-05T07:13:09Z,finance-lead@example.com,2026-09-05T07:13:09Z,dev auto-decision
APR-0031,CASE-0055,,L3,310.74,AGENT,APPROVED,2026-09-05T07:13:09Z,finance-lead@example.com,2026-09-05T07:13:09Z,dev auto-decision
APR-0032,CASE-0040,,L3,300.05,AGENT,APPROVED,2026-09-05T07:13:10Z,finance-lead@example.com,2026-09-05T07:13:10Z,dev auto-decision
APR-0033,CASE-0009,,L3,294.24,AGENT,APPROVED,2026-09-05T07:13:10Z,finance-lead@example.com,2026-09-05T07:13:10Z,dev auto-decision
APR-0034,CASE-0052,,L3,292.62,AGENT,APPROVED,2026-09-05T07:13:11Z,finance-lead@example.com,2026-09-05T07:13:11Z,dev auto-decision
APR-0035,CASE-0041,,L3,291.94,AGENT,APPROVED,2026-09-05T07:13:11Z,finance-lead@example.com,2026-09-05T07:13:11Z,dev auto-decision
APR-0036,CASE-0075,,L3,291.94,AGENT,APPROVED,2026-09-05T07:13:12Z,finance-lead@example.com,2026-09-05T07:13:12Z,dev auto-decision
APR-0037,CASE-0087,,L3,291.94,AGENT,APPROVED,2026-09-05T07:13:12Z,finance-lead@example.com,2026-09-05T07:13:12Z,dev auto-decision
APR-0038,CASE-0106,,L3,284.84,AGENT,APPROVED,2026-09-05T07:13:13Z,finance-lead@example.com,2026-09-05T07:13:13Z,dev auto-decision
APR-0039,CASE-0099,,L3,257.29,AGENT,APPROVED,2026-09-05T07:13:13Z,finance-lead@example.com,2026-09-05T07:13:13Z,dev auto-decision
APR-0040,CASE-9001,,L3,250.00,AGENT,APPROVED,2026-09-05T07:13:14Z,finance-lead@example.com,2026-09-05T07:13:14Z,dev auto-decision
APR-0041,CASE-0104,,L3,219.92,AGENT,APPROVED,2026-09-05T07:13:14Z,finance-lead@example.com,2026-09-05T07:13:14Z,dev auto-decision
APR-0042,CASE-0095,,L3,181.72,AGENT,APPROVED,2026-09-05T07:13:15Z,finance-lead@example.com,2026-09-05T07:13:15Z,dev auto-decision
APR-0043,CASE-0058,,L3,175.78,AGENT,APPROVED,2026-09-05T07:13:16Z,finance-lead@example.com,2026-09-05T07:13:16Z,dev auto-decision
APR-0044,CASE-0021,,L3,136.39,AGENT,APPROVED,2026-09-05T07:13:17Z,finance-lead@example.com,2026-09-05T07:13:17Z,dev auto-decision
APR-0045,CASE-0024,,L3,131.65,AGENT,APPROVED,2026-09-05T07:13:18Z,finance-lead@example.com,2026-09-05T07:13:18Z,dev auto-decision
APR-0046,CASE-0044,,L3,129.59,AGENT,APPROVED,2026-09-05T07:13:18Z,finance-lead@example.com,2026-09-05T07:13:18Z,dev auto-decision
