direction,counterparty,amount,source,utr,bank_txn_id,description,value_date
CREDIT,RAZORPAY SOFTWARE PVT LTD,1189.73,BANK,UTR00000001,BNK-0001,,2025-01-09
CREDIT,RAZORPAY SOFTWARE PVT LTD,1038.65,BANK,UTR00000002,BNK-0002,,2025-01-09
CREDIT,RAZORPAY SOFTWARE PVT LTD,2665.97,BANK,UTR00000003,BNK-0003,,2025-01-09
CREDIT,RAZORPAY SOFTWARE PVT LTD,610.29,BANK,UTR00000004,BNK-0004,,2025-01-10
CREDIT,RAZORPAY SOFTWARE PVT LTD,291.94,BANK,UTR00000005,BNK-0005,,2025-01-10
CREDIT,RAZORPAY SOFTWARE PVT LTD,1136.1,BANK,UTR00000006,BNK-0006,,2025-01-13
CREDIT,RAZORPAY SOFTWARE PVT LTD,4921.63,BANK,UTR00000007,BNK-0007,,2025-01-10
CREDIT,RAZORPAY SOFTWARE PVT LTD,418.83,BANK,UTR00000008,BNK-0008,,2025-01-09
CREDIT,RAZORPAY SOFTWARE PVT LTD,644.24,BANK,UTR00000009,BNK-0009,,2025-01-09
CREDIT,RAZORPAY SOFTWARE PVT LTD,671.6,BANK,UTR00000010,BNK-0010,,2025-01-10
CREDIT,RAZORPAY SOFTWARE PVT LTD,295.0,BANK,UTR00000011,BNK-0011,,2025-01-10
CREDIT,RAZORPAY SOFTWARE PVT LTD,708.94,BANK,UTR00000013,BNK-0013,,2025-01-13
CREDIT,RAZORPAY SOFTWARE PVT LTD,983.73,BANK,UTR00000014,BNK-0014,,2025-01-11
CREDIT,RAZORPAY SOFTWARE PVT LTD,507.93,BANK,UTR00000015,BNK-0015,,2025-01-09
CREDIT,RAZORPAY SOFTWARE PVT LTD,595.52,BANK,UTR00000016,BNK-0016,,2025-01-10
CREDIT,RAZORPAY SOFTWARE PVT LTD,206.34,BANK,UTR00000017,BNK-0017,,2025-01-10
CREDIT,RAZORPAY SOFTWARE PVT LTD,376.6,BANK,UTR00000018,BNK-0018,,2025-01-10
CREDIT,RAZORPAY SOFTWARE PVT LTD,1877.4,BANK,UTR00000019,BNK-0019,,2025-01-11
CREDIT,RAZORPAY SOFTWARE PVT LTD,890.78,BANK,UTR00000020,BNK-0020,,2025-01-11
CREDIT,RAZORPAY SOFTWARE PVT LTD,377.36,BANK,UTR00000021,BNK-0021,,2025-01-10
CREDIT,RAZORPAY SOFTWARE PVT LTD,749.35,BANK,UTR00000031,BNK-0031,,2025-01-15
CREDIT,RAZORPAY SOFTWARE PVT LTD,1247.75,BANK,UTR00000034,BNK-0034,,2025-01-15
CREDIT,RAZORPAY SOFTWARE PVT LTD,1389.9,BANK,UTR00000037,BNK-0037,,2025-01-15
CREDIT,RAZORPAY SOFTWARE PVT LTD,972.37,BANK,UTR00000045,BNK-0045,,2025-01-15
CREDIT,RAZORPAY SOFTWARE PVT LTD,1328.05,BANK,UTR00000053,BNK-0053,,2025-01-16
CREDIT,RAZORPAY SOFTWARE PVT LTD,661.24,BANK,UTR00000054,BNK-0054,,2025-01-14
CREDIT,RAZORPAY SOFTWARE PVT LTD,592.18,BANK,UTR00000055,BNK-0055,,2025-01-17
CREDIT,RAZORPAY SOFTWARE PVT LTD,1136.36,BANK,UTR00000056,BNK-0056,,2025-01-14
CREDIT,RAZORPAY SOFTWARE PVT LTD,4196.74,BANK,UTR00000058,BNK-0058,,2025-01-14
CREDIT,RAZORPAY SOFTWARE PVT LTD,1467.37,BANK,UTR00000063,BNK-0063,,2025-01-14
CREDIT,RAZORPAY SOFTWARE PVT LTD,4860.18,BANK,UTR00000064,BNK-0064,,2025-01-18
CREDIT,RAZORPAY SOFTWARE PVT LTD,376.83,BANK,UTR00000066,BNK-0066,,2025-01-14
CREDIT,RAZORPAY SOFTWARE PVT LTD,3129.19,BANK,UTR00000067,BNK-0067,,2025-01-15
CREDIT,RAZORPAY SOFTWARE PVT LTD,284.84,BANK,UTR00000068,BNK-0068,,2025-01-15
CREDIT,RAZORPAY SOFTWARE PVT LTD,1540.5,BANK,UTR00000069,BNK-0069,,2025-01-14
CREDIT,RAZORPAY SOFTWARE PVT LTD,11240.02,BANK,UTR00000070,BNK-0070,,2025-01-15
CREDIT,RAZORPAY SOFTWARE PVT LTD,1159.98,BANK,UTR00000071,BNK-0071,,2025-01-14
CREDIT,RAZORPAY SOFTWARE PVT LTD,853.54,BANK,UTR00000072,BNK-0072,,2025-01-15
CREDIT,RAZORPAY SOFTWARE PVT LTD,5204.29,BANK,UTR00000073,BNK-0073,,2025-01-14
CREDIT,RAZORPAY SOFTWARE PVT LTD,1723.82,BANK,UTR00000074,BNK-0074,,2025-01-15
