order_id,invoice_number,taxable_value,invoice_id,gst_amount,total_amount,status,source
ORD-1,INV/2025/1001,1042.75,INV-0001,187.7,1230.45,PAID,ACCOUNTING
ORD-2,INV/2025/1002,884.38,INV-0002,159.19,1043.57,PAID,ACCOUNTING
ORD-3,INV/2025/1003,2313.91,INV-0003,416.5,2730.41,PAID,ACCOUNTING
ORD-4,INV/2025/1004,520.5,INV-0004,93.69,614.19,PAID,ACCOUNTING
ORD-5,INV/2025/1005,253.39,INV-0005,45.61,299.0,PAID,ACCOUNTING
ORD-6,INV/2025/1006,967.36,INV-0006,174.13,1141.49,PAID,ACCOUNTING
ORD-7,INV/2025/1007,4190.65,INV-0007,754.32,4944.97,PAID,ACCOUNTING
ORD-8,INV/2025/1008,363.52,INV-0008,65.43,428.95,PAID,ACCOUNTING
ORD-9,INV/2025/1009,549.59,INV-0009,98.93,648.52,PAID,ACCOUNTING
ORD-10,INV/2025/1010,571.86,INV-0010,102.93,674.79,PAID,ACCOUNTING
ORD-11,INV/2025/1011,256.04,INV-0011,46.09,302.13,PAID,ACCOUNTING
ORD-12,INV/2025/1012,1688.52,INV-0012,303.93,1992.45,PAID,ACCOUNTING
ORD-13,INV/2025/1013,603.64,INV-0013,108.66,712.3,PAID,ACCOUNTING
ORD-14,INV/2025/1014,1280.75,INV-0014,230.54,1511.29,PAID,ACCOUNTING
ORD-15,INV/2025/1015,442.45,INV-0015,79.64,522.09,PAID,ACCOUNTING
