raw_record_id,batch_id,source_system,entity,source_record_id,event_timestamp,payload,payload_sha256,schema_version,retrieved_at
RSR-A9BC5D221B2F,BAT-BANK_CSV-20260905T06282,BANK,bank_transactions,BNK-0001,2025-01-09,"{""bank_txn_id"": ""BNK-0001"", ""utr"": ""UTR00000001"", ""amount"": ""1189.73"", ""value_date"": ""2025-01-09"", ""direction"": ""IN"", ""counterparty"": ""RAZORPAY SOFTWARE PVT LTD"", ""description"": """", ""source"": """"}",a9bc5d221b2f9d6d7c82ee44e8b055be8c153789cc92825f23f2533a6b6dbc3c,v1,2026-09-05T06:28:23Z
RSR-BD686A5FC12D,BAT-BANK_CSV-20260905T06282,BANK,bank_transactions,BNK-0002,2025-01-09,"{""bank_txn_id"": ""BNK-0002"", ""utr"": ""UTR00000002"", ""amount"": ""1038.65"", ""value_date"": ""2025-01-09"", ""direction"": ""IN"", ""counterparty"": ""RAZORPAY SOFTWARE PVT LTD"", ""description"": """", ""source"": """"}",bd686a5fc12dd7c82b01e037ca2c83c1a71c0f44b342ec2553d10e04fc28bb9b,v1,2026-09-05T06:28:23Z
RSR-8CAA116ED290,BAT-BANK_CSV-20260905T06282,BANK,bank_transactions,BNK-0003,2025-01-09,"{""bank_txn_id"": ""BNK-0003"", ""utr"": ""UTR00000003"", ""amount"": ""2665.97"", ""value_date"": ""2025-01-09"", ""direction"": ""IN"", ""counterparty"": ""RAZORPAY SOFTWARE PVT LTD"", ""description"": """", ""source"": """"}",8caa116ed29048156d56ba694ce258009ac3b88a06bf5cfc0fefb95dc07f19ae,v1,2026-09-05T06:28:23Z
RSR-05B8F381C9C0,BAT-BANK_CSV-20260905T06282,BANK,bank_transactions,BNK-0004,2025-01-10,"{""bank_txn_id"": ""BNK-0004"", ""utr"": ""UTR00000004"", ""amount"": ""610.29"", ""value_date"": ""2025-01-10"", ""direction"": ""IN"", ""counterparty"": ""RAZORPAY SOFTWARE PVT LTD"", ""description"": """", ""source"": """"}",05b8f381c9c0a0cf4e689831513cc9447d5425d5054c3656048672def693a539,v1,2026-09-05T06:28:23Z
RSR-84E6D0D2C6FD,BAT-BANK_CSV-20260905T06282,BANK,bank_transactions,BNK-0005,2025-01-10,"{""bank_txn_id"": ""BNK-0005"", ""utr"": ""UTR00000005"", ""amount"": ""291.94"", ""value_date"": ""2025-01-10"", ""direction"": ""IN"", ""counterparty"": ""RAZORPAY SOFTWARE PVT LTD"", ""description"": """", ""source"": """"}",84e6d0d2c6fda2e06bdf50afd43c31a92579bb02fc7cb7b699addcaaf397343b,v1,2026-09-05T06:28:23Z
RSR-D76FB02E052E,BAT-BANK_CSV-20260905T06282,BANK,bank_transactions,BNK-0006,2025-01-13,"{""bank_txn_id"": ""BNK-0006"", ""utr"": ""UTR00000006"", ""amount"": ""1136.1"", ""value_date"": ""2025-01-13"", ""direction"": ""IN"", ""counterparty"": ""RAZORPAY SOFTWARE PVT LTD"", ""description"": """", ""source"": """"}",d76fb02e052e85252924a3ca7b8b31101624c85d1d4a3e8d1c44d2cd55b0fa8a,v1,2026-09-05T06:28:23Z
RSR-4FDE2ADDFA02,BAT-BANK_CSV-20260905T06282,BANK,bank_transactions,BNK-0007,2025-01-10,"{""bank_txn_id"": ""BNK-0007"", ""utr"": ""UTR00000007"", ""amount"": ""4921.63"", ""value_date"": ""2025-01-10"", ""direction"": ""IN"", ""counterparty"": ""RAZORPAY SOFTWARE PVT LTD"", ""description"": """", ""source"": """"}",4fde2addfa02b7c14e3346a0edcc2f0c41ec2ed2992592a36a1d0bd4ebf97bf0,v1,2026-09-05T06:28:23Z
RSR-B7A07C88D117,BAT-BANK_CSV-20260905T06282,BANK,bank_transactions,BNK-0008,2025-01-09,"{""bank_txn_id"": ""BNK-0008"", ""utr"": ""UTR00000008"", ""amount"": ""418.83"", ""value_date"": ""2025-01-09"", ""direction"": ""IN"", ""counterparty"": ""RAZORPAY SOFTWARE PVT LTD"", ""description"": """", ""source"": """"}",b7a07c88d117d5027959404921374bc18d78d9f2937701b2316d96416151d62e,v1,2026-09-05T06:28:23Z
RSR-AB0C6E5585C2,BAT-BANK_CSV-20260905T06282,BANK,bank_transactions,BNK-0009,2025-01-09,"{""bank_txn_id"": ""BNK-0009"", ""utr"": ""UTR00000009"", ""amount"": ""644.24"", ""value_date"": ""2025-01-09"", ""direction"": ""IN"", ""counterparty"": ""RAZORPAY SOFTWARE PVT LTD"", ""description"": """", ""source"": """"}",ab0c6e5585c276935457b1454e6d33bd7d090c38f4a282dd14d7c6db5ce157c0,v1,2026-09-05T06:28:23Z
RSR-45BCCB7274DF,BAT-BANK_CSV-20260905T06282,BANK,bank_transactions,BNK-0010,2025-01-10,"{""bank_txn_id"": ""BNK-0010"", ""utr"": ""UTR00000010"", ""amount"": ""671.6"", ""value_date"": ""2025-01-10"", ""direction"": ""IN"", ""counterparty"": ""RAZORPAY SOFTWARE PVT LTD"", ""description"": """", ""source"": """"}",45bccb7274dfba8f303a5f2ac5a6588b9bf3d662c1e665471b8b00645f44807e,v1,2026-09-05T06:28:23Z
