ledger_id,case_id,order_id,source,amount,status,bank_reference,verification_id,approval_id,recorded_at
RLG-0001,CASE-0029,ORD-138,dispute,2092.88,RECOVERED,RCV-CASE-0029,,,2026-09-05T07:12:56Z
RLG-0002,CASE-0061,ORD-346,dispute,2058.75,RECOVERED,RCV-CASE-0061,,,2026-09-05T07:12:57Z
RLG-0003,CASE-0117,ORD-773,dispute,1988.32,RECOVERED,RCV-CASE-0117,,,2026-09-05T07:12:57Z
RLG-0004,CASE-0143,ORD-952,dispute,1980.46,RECOVERED,RCV-CASE-0143,,,2026-09-05T07:12:57Z
RLG-0005,CASE-0108,ORD-705,dispute,1722.34,RECOVERED,RCV-CASE-0108,,,2026-09-05T07:12:58Z
RLG-0006,CASE-0007,ORD-25,dispute,1541.86,RECOVERED,RCV-CASE-0007,,,2026-09-05T07:12:58Z
RLG-0007,CASE-0130,ORD-844,dispute,1291.07,RECOVERED,RCV-CASE-0130,,,2026-09-05T07:12:59Z
RLG-0008,CASE-0047,ORD-238,dispute,1237.65,RECOVERED,RCV-CASE-0047,,,2026-09-05T07:13:00Z
RLG-0009,CASE-0092,ORD-614,dispute,822.81,RECOVERED,RCV-CASE-0092,,,2026-09-05T07:13:02Z
RLG-0010,CASE-0026,ORD-126,dispute,792.3,RECOVERED,RCV-CASE-0026,,,2026-09-05T07:13:03Z
RLG-0011,CASE-0107,ORD-702,dispute,675.77,RECOVERED,RCV-CASE-0107,,,2026-09-05T07:13:04Z
RLG-0012,CASE-0088,ORD-580,dispute,607.89,RECOVERED,RCV-CASE-0088,,,2026-09-05T07:13:05Z
RLG-0013,CASE-0030,ORD-140,dispute,571.83,RECOVERED,RCV-CASE-0030,,,2026-09-05T07:13:05Z
RLG-0014,CASE-0122,ORD-812,dispute,531.04,RECOVERED,RCV-CASE-0122,,,2026-09-05T07:13:06Z
RLG-0015,CASE-0125,ORD-825,dispute,474.13,RECOVERED,RCV-CASE-0125,,,2026-09-05T07:13:07Z
RLG-0016,CASE-0140,ORD-928,dispute,433.87,RECOVERED,RCV-CASE-0140,,,2026-09-05T07:13:08Z
RLG-0017,CASE-0062,ORD-347,dispute,429.35,RECOVERED,RCV-CASE-0062,,,2026-09-05T07:13:08Z
RLG-0018,CASE-0055,ORD-294,dispute,310.74,RECOVERED,RCV-CASE-0055,,,2026-09-05T07:13:09Z
RLG-0019,CASE-0040,ORD-182,dispute,300.05,RECOVERED,RCV-CASE-0040,,,2026-09-05T07:13:10Z
RLG-0020,CASE-0009,ORD-36,dispute,294.24,RECOVERED,RCV-CASE-0009,,,2026-09-05T07:13:10Z
RLG-0021,CASE-0099,ORD-663,dispute,257.29,RECOVERED,RCV-CASE-0099,,,2026-09-05T07:13:13Z
RLG-0022,CASE-0095,ORD-628,dispute,181.72,RECOVERED,RCV-CASE-0095,,,2026-09-05T07:13:15Z
RLG-0023,CASE-0058,ORD-316,dispute,175.78,RECOVERED,RCV-CASE-0058,,,2026-09-05T07:13:16Z
RLG-0024,CASE-0024,ORD-101,dispute,131.65,RECOVERED,RCV-CASE-0024,,,2026-09-05T07:13:18Z
RLG-0025,CASE-0039,ORD-179,dispute,119.5,RECOVERED,RCV-CASE-0039,,,2026-09-05T07:13:19Z
RLG-0026,CASE-0112,ORD-741,dispute,105.67,RECOVERED,RCV-CASE-0112,,,2026-09-05T07:13:21Z
RLG-0027,CASE-0149,ORD-990,dispute,71.33,RECOVERED,RCV-CASE-0149,,,2026-09-05T07:13:24Z
RLG-0028,CASE-0132,ORD-857,dispute,66.74,RECOVERED,RCV-CASE-0132,,,2026-09-05T07:13:25Z
RLG-0029,CASE-0119,ORD-789,dispute,63.71,RECOVERED,RCV-CASE-0119,,,2026-09-05T07:13:27Z
RLG-0030,CASE-0017,ORD-71,dispute,58.05,RECOVERED,RCV-CASE-0017,,,2026-09-05T07:13:27Z
RLG-0031,CASE-0073,ORD-458,dispute,46.0,RECOVERED,RCV-CASE-0073,,,2026-09-05T07:13:28Z
RLG-0032,CASE-0127,ORD-835,dispute,38.64,RECOVERED,RCV-CASE-0127,,,2026-09-05T07:13:32Z
