verification_id,action_id,case_id,status,check_type,expected_ref,observed_value,checked_at,notes
VER-0001,ACT-0003,CASE-0029,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0029,"{""recovered_amount"": 2092.88, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0029""}",2026-09-05T07:12:56Z,dispute status RESOLVED
VER-0002,ACT-0005,CASE-0061,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0061,"{""recovered_amount"": 2058.75, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0061""}",2026-09-05T07:12:57Z,dispute status RESOLVED
VER-0003,ACT-0007,CASE-0117,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0117,"{""recovered_amount"": 1988.32, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0117""}",2026-09-05T07:12:57Z,dispute status RESOLVED
VER-0004,ACT-0009,CASE-0143,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0143,"{""recovered_amount"": 1980.46, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0143""}",2026-09-05T07:12:57Z,dispute status RESOLVED
VER-0005,ACT-0011,CASE-0004,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0004,"{""recovered_amount"": 1167.26, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0004""}",2026-09-05T07:12:58Z,dispute status RESOLVED
VER-0006,ACT-0013,CASE-0108,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0108,"{""recovered_amount"": 1722.34, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0108""}",2026-09-05T07:12:58Z,dispute status RESOLVED
VER-0007,ACT-0015,CASE-0121,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0121,"{""recovered_amount"": 969.86, ""mode"": ""PARTIAL"", ""bank_ref"": ""RCV-CASE-0121""}",2026-09-05T07:12:58Z,dispute status RESOLVED
VER-0008,ACT-0017,CASE-0007,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0007,"{""recovered_amount"": 1541.86, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0007""}",2026-09-05T07:12:58Z,dispute status RESOLVED
VER-0009,ACT-0019,CASE-0130,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0130,"{""recovered_amount"": 1291.07, ""mode"": ""FULL"", ""bank_ref"": ""RCV-CASE-0130""}",2026-09-05T07:12:59Z,dispute status RESOLVED
VER-0010,ACT-0021,CASE-0046,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0046,"{""recovered_amount"": 0.0, ""mode"": """", ""bank_ref"": """"}",2026-09-05T07:12:59Z,dispute status PENDING
