approval_id,case_id,action_id,risk_level,amount,requested_by,status,requested_at,decided_by,decided_at,decision_note
APR-0001,CASE-0091,ACT-0002,L3_FINANCIAL,5755.61,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0002,CASE-0029,ACT-0004,L3_FINANCIAL,2092.88,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0003,CASE-0061,ACT-0006,L3_FINANCIAL,2058.75,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0004,CASE-0117,ACT-0008,L3_FINANCIAL,1988.32,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0005,CASE-0143,ACT-0010,L3_FINANCIAL,1980.46,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0006,CASE-0004,ACT-0012,L3_FINANCIAL,1945.43,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0007,CASE-0108,ACT-0014,L3_FINANCIAL,1722.34,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0008,CASE-0121,ACT-0016,L3_FINANCIAL,1616.44,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0009,CASE-0007,ACT-0018,L3_FINANCIAL,1541.86,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0010,CASE-0130,ACT-0020,L3_FINANCIAL,1291.07,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0011,CASE-0046,ACT-0022,L3_FINANCIAL,1253.0,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0012,CASE-0047,ACT-0024,L3_FINANCIAL,1237.65,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0013,CASE-0081,ACT-0026,L3_FINANCIAL,1183.71,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0014,CASE-0101,ACT-0028,L3_FINANCIAL,958.15,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0015,CASE-0145,ACT-0030,L3_FINANCIAL,953.0,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0016,CASE-0093,ACT-0032,L3_FINANCIAL,876.8,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0017,CASE-0092,ACT-0034,L3_FINANCIAL,822.81,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0018,CASE-0032,ACT-0036,L3_FINANCIAL,814.95,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0019,CASE-0026,ACT-0038,L3_FINANCIAL,792.3,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0020,CASE-0086,ACT-0040,L3_FINANCIAL,788.94,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0021,CASE-0083,ACT-0042,L3_FINANCIAL,751.74,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0022,CASE-0107,ACT-0044,L3_FINANCIAL,675.77,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0023,CASE-0088,ACT-0046,L3_FINANCIAL,607.89,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0024,CASE-0030,ACT-0048,L3_FINANCIAL,571.83,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0025,CASE-0042,ACT-0050,L3_FINANCIAL,550.24,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0026,CASE-0122,ACT-0052,L3_FINANCIAL,531.04,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0027,CASE-0147,ACT-0054,L3_FINANCIAL,479.39,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0028,CASE-0125,ACT-0056,L3_FINANCIAL,474.13,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0029,CASE-0140,ACT-0058,L3_FINANCIAL,433.87,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0030,CASE-0062,ACT-0060,L3_FINANCIAL,429.35,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0031,CASE-0098,ACT-0062,L3_FINANCIAL,389.35,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0032,CASE-0055,ACT-0064,L3_FINANCIAL,310.74,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0033,CASE-0040,ACT-0066,L3_FINANCIAL,300.05,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0034,CASE-0009,ACT-0068,L3_FINANCIAL,294.24,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0035,CASE-0052,ACT-0070,L3_FINANCIAL,292.62,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0036,CASE-0041,ACT-0072,L3_FINANCIAL,291.94,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0037,CASE-0075,ACT-0074,L3_FINANCIAL,291.94,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0038,CASE-0087,ACT-0076,L3_FINANCIAL,291.94,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0039,CASE-0106,ACT-0078,L3_FINANCIAL,284.84,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0040,CASE-0099,ACT-0080,L3_FINANCIAL,257.29,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0041,CASE-0104,ACT-0082,L3_FINANCIAL,219.92,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0042,CASE-0095,ACT-0084,L3_FINANCIAL,181.72,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0043,CASE-0058,ACT-0086,L3_FINANCIAL,175.78,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0044,CASE-0021,ACT-0090,L3_FINANCIAL,136.39,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0045,CASE-0024,ACT-0092,L3_FINANCIAL,131.65,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0046,CASE-0044,ACT-0094,L3_FINANCIAL,129.59,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0047,CASE-0039,ACT-0096,L3_FINANCIAL,119.5,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0048,CASE-0020,ACT-0098,L3_FINANCIAL,114.35,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0049,CASE-0048,ACT-0100,L3_FINANCIAL,106.19,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0050,CASE-0112,ACT-0102,L3_FINANCIAL,105.67,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0051,CASE-0027,ACT-0104,L3_FINANCIAL,101.73,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0052,CASE-0141,ACT-0107,L3_FINANCIAL,88.94,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0053,CASE-0139,ACT-0109,L3_FINANCIAL,72.48,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0054,CASE-0149,ACT-0111,L3_FINANCIAL,71.33,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0055,CASE-0123,ACT-0113,L3_FINANCIAL,67.44,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0056,CASE-0132,ACT-0115,L3_FINANCIAL,66.74,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0057,CASE-0129,ACT-0117,L3_FINANCIAL,66.48,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0058,CASE-0128,ACT-0119,L3_FINANCIAL,65.58,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0059,CASE-0119,ACT-0121,L3_FINANCIAL,63.71,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0060,CASE-0017,ACT-0123,L3_FINANCIAL,58.05,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0061,CASE-0073,ACT-0126,L3_FINANCIAL,46.0,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0062,CASE-0090,ACT-0128,L3_FINANCIAL,42.8,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0063,CASE-0056,ACT-0131,L3_FINANCIAL,41.45,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0064,CASE-0127,ACT-0135,L3_FINANCIAL,38.64,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0065,CASE-0019,ACT-0138,L3_FINANCIAL,36.8,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0066,CASE-0060,ACT-0140,L3_FINANCIAL,35.42,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
APR-0067,CASE-0037,ACT-0142,L3_FINANCIAL,33.66,AGENT,APPROVED,2025-04-05T00:00:00Z,finance-lead@example.com,2025-04-05T00:45:00Z,evidence verified; within dispute window
