history_id,case_id,event_type,old_status,new_status,actor,message,payload,event_at
CH-00001,CASE-0001,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00002,CASE-0002,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00003,CASE-0003,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00004,CASE-0004,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00005,CASE-0005,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00006,CASE-0006,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00007,CASE-0007,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00008,CASE-0008,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00009,CASE-0009,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00010,CASE-0010,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00011,CASE-0011,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00012,CASE-0012,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00013,CASE-0013,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00014,CASE-0014,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00015,CASE-0015,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00016,CASE-0016,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00017,CASE-0017,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00018,CASE-0018,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00019,CASE-0019,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00020,CASE-0020,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00021,CASE-0021,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00022,CASE-0022,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00023,CASE-0023,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00024,CASE-0024,CREATED,,NEW,ENGINE,case opened from 2 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00025,CASE-0025,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00026,CASE-0026,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00027,CASE-0027,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00028,CASE-0028,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00029,CASE-0029,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00030,CASE-0030,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00031,CASE-0031,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00032,CASE-0032,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00033,CASE-0033,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00034,CASE-0034,CREATED,,NEW,ENGINE,case opened from 2 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00035,CASE-0035,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00036,CASE-0036,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
CH-00037,CASE-0037,CREATED,,NEW,ENGINE,case opened from 1 anomaly finding(s),,2025-04-05T00:00:00Z
