evidence_id,case_id,recon_result_id,evidence_kind,source_system,source_reference,description,payload_sha256,collected_at
EVID-00001,CASE-0001,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00001,FEE_DISCREPANCY detected 13.78 by FR-FEE-EXCESS-001,1feb395218548e231103d3897442b799f67963ec9811755a6bd935ac08f313a6,2025-04-05T00:00:00Z
EVID-00002,CASE-0001,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00003,CASE-0001,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000001axkkkk,raw gateway payload for payment pay_000001axkkkk,77a88a6421004fb529db8398636b72959f7d2d31376c9fe3cad10ffa1682bd07,2025-04-05T00:00:00Z
EVID-00004,CASE-0001,,RATE_CARD,CFG,cfg.rate_cards:RC-CARD-2025,applicable rate card RC-CARD-2025,1bcea65058a6759a002a5283d9a4c2181d179ea3ee659aa3cd2f3d22a2c2cb3e,2025-04-05T00:00:00Z
EVID-00005,CASE-0002,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00002,FEE_DISCREPANCY detected 1.18 by FR-FEE-EXCESS-001,3a5e4ccf5aae755b811b6622ac7084c769d6a757613a28d294b530199a97d726,2025-04-05T00:00:00Z
EVID-00006,CASE-0002,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00007,CASE-0002,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000004axkkkkkk,raw gateway payload for payment pay_000004axkkkkkk,f1ae450ac66f7ee05710cdc92a14c5b9f5f844a8b6a50624dfab609bcaa628d9,2025-04-05T00:00:00Z
EVID-00008,CASE-0002,,RATE_CARD,CFG,cfg.rate_cards:RC-UPI-2025,applicable rate card RC-UPI-2025,6c366592a22d55351ed96af92fc67fb55c824bdc45180501b49acb478d3fc036,2025-04-05T00:00:00Z
EVID-00009,CASE-0003,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00003,FEE_DISCREPANCY detected 1.44 by FR-FEE-EXCESS-001,37218eb616467eb10aedd618256c06646ace5b6e49e4b98535e74aaccbdcaa25,2025-04-05T00:00:00Z
EVID-00010,CASE-0003,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-FEE-EXCESS-001,rule FR-FEE-EXCESS-001 evaluated to LEAKAGE,18e4922bc2fbccb34065841df19ecca8ad722ef5520b627395baea588966de17,2025-04-05T00:00:00Z
EVID-00011,CASE-0003,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000009axkkkkkkkkk,raw gateway payload for payment pay_000009axkkkkkkkkk,7da4875bf0c89011eeee6b15848b9c033c396d401ae775a72cb16b0d1a7ea3aa,2025-04-05T00:00:00Z
EVID-00012,CASE-0003,,RATE_CARD,CFG,cfg.rate_cards:RC-UPI-2025,applicable rate card RC-UPI-2025,6c366592a22d55351ed96af92fc67fb55c824bdc45180501b49acb478d3fc036,2025-04-05T00:00:00Z
EVID-00013,CASE-0004,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00004,SETTLEMENT_MISMATCH detected 1945.43 by FR-SETTLE-TIMING-001,16f4c3140a1d4adb714b5aaf9ea1d87d8f040931dfa2199fe8533a216466a64c,2025-04-05T00:00:00Z
EVID-00014,CASE-0004,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-SETTLE-TIMING-001,rule FR-SETTLE-TIMING-001 evaluated to LEAKAGE,b79283de7eb4efad69416f338e689ba8b43387b257b2380aac57faaf97f63c92,2025-04-05T00:00:00Z
EVID-00015,CASE-0004,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000012axkkkkk,raw gateway payload for payment pay_000012axkkkkk,a600b971fa389ea532256c96ca581074864efe0106d7cb44accd4d0eb6f7b4c1,2025-04-05T00:00:00Z
EVID-00016,CASE-0005,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00005,REFUND_ECONOMICS detected 8.83 by FR-REFUND-ECON-001,f8f573dabbd33a12494e207c74fa525ac2d874c9ee86d9fc6be442dcbf87f718,2025-04-05T00:00:00Z
EVID-00017,CASE-0005,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-REFUND-ECON-001,rule FR-REFUND-ECON-001 evaluated to LEAKAGE,072d2128cf5c3e963a54ce66aed510d191691f928efa61d5d53195f5ca83dd54,2025-04-05T00:00:00Z
EVID-00018,CASE-0005,,RAW_PAYLOAD,RAZORPAY,raw.raw_source_records:payments:pay_000016axkkkkk,raw gateway payload for payment pay_000016axkkkkk,42765fc6a1da30f9802ef5245da4c36294922ec347ab93c9d83b942f23a8abed,2025-04-05T00:00:00Z
EVID-00019,CASE-0006,,RECON_RESULT,ENGINE,ops.anomaly_results:anm-00006,REFUND_ECONOMICS detected 3.57 by FR-REFUND-ECON-001,9ac91742ab5a07078f61153f1a95d5f53bb7a7213d48dde6f867883849383a35,2025-04-05T00:00:00Z
EVID-00020,CASE-0006,,RULE_RESULT,ENGINE,cfg.financial_rules:FR-REFUND-ECON-001,rule FR-REFUND-ECON-001 evaluated to LEAKAGE,072d2128cf5c3e963a54ce66aed510d191691f928efa61d5d53195f5ca83dd54,2025-04-05T00:00:00Z
