identity_match_id,entity_type,left_system,left_entity,left_record_id,right_system,right_entity,right_record_id,match_method,confidence,status,conflict_detail,matched_at
idm-00001,ORDER,SHOPIFY,core.orders,ORD-1,RAZORPAY,core.payments,PAY-0001,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00002,INVOICE,SHOPIFY,core.orders,ORD-1,ACCOUNTING,core.invoices,INV-0001,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00003,ORDER,SHOPIFY,core.orders,ORD-2,RAZORPAY,core.payments,PAY-0002,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00004,INVOICE,SHOPIFY,core.orders,ORD-2,ACCOUNTING,core.invoices,INV-0002,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00005,ORDER,SHOPIFY,core.orders,ORD-3,RAZORPAY,core.payments,PAY-0003,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00006,INVOICE,SHOPIFY,core.orders,ORD-3,ACCOUNTING,core.invoices,INV-0003,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00007,ORDER,SHOPIFY,core.orders,ORD-4,RAZORPAY,core.payments,PAY-0004,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00008,INVOICE,SHOPIFY,core.orders,ORD-4,ACCOUNTING,core.invoices,INV-0004,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00009,ORDER,SHOPIFY,core.orders,ORD-5,RAZORPAY,core.payments,PAY-0005,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00010,INVOICE,SHOPIFY,core.orders,ORD-5,ACCOUNTING,core.invoices,INV-0005,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00011,ORDER,SHOPIFY,core.orders,ORD-6,RAZORPAY,core.payments,PAY-0006,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00012,INVOICE,SHOPIFY,core.orders,ORD-6,ACCOUNTING,core.invoices,INV-0006,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00013,ORDER,SHOPIFY,core.orders,ORD-7,RAZORPAY,core.payments,PAY-0007,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00014,INVOICE,SHOPIFY,core.orders,ORD-7,ACCOUNTING,core.invoices,INV-0007,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00015,ORDER,SHOPIFY,core.orders,ORD-8,RAZORPAY,core.payments,PAY-0008,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00016,INVOICE,SHOPIFY,core.orders,ORD-8,ACCOUNTING,core.invoices,INV-0008,INVOICE_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
idm-00017,ORDER,SHOPIFY,core.orders,ORD-9,RAZORPAY,core.payments,PAY-0009,EXACT_REF,1.00,RESOLVED,,2025-04-05T00:00:00Z
