recon_result_id,reconcile_run_id,direction,left_entity,left_record_id,right_entity,right_record_id,status,expected_amount,actual_amount,variance,explained_variance,unexplained_variance,variance_class,tolerance_id,matched_at,notes
rcn-00001,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-1,core.payments,PAY-0001,MATCHED,1230.45,1230.45,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00002,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0001,core.settlements,SET-0001,MISMATCH,1201.41,1189.73,11.68,0,11.68,LEAKAGE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,LEAKAGE on SETTLEMENT_VS_PAYMENT
rcn-00003,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0001,core.gateway_fees,FEE-0001,MISMATCH,24.61,36.29,-11.68,0,11.68,LEAKAGE,TOL-FEE,2025-04-05T00:00:00Z,LEAKAGE on FEE_VS_RATE_CARD
rcn-00004,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0001,core.bank_transactions,BNK-0001,MATCHED,1189.73,1189.73,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00005,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-2,core.payments,PAY-0002,MATCHED,1043.57,1043.57,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00006,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0002,core.settlements,SET-0002,MATCHED,1038.65,1038.65,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
rcn-00007,RUN-2025-04-05-01,FEE_VS_RATE_CARD,core.payments,PAY-0002,core.gateway_fees,FEE-0002,MATCHED,4.17,4.17,0.0,0,0,LEGITIMATE,TOL-FEE,2025-04-05T00:00:00Z,
rcn-00008,RUN-2025-04-05-01,BANK_VS_SETTLEMENT,core.settlements,SET-0002,core.bank_transactions,BNK-0002,MATCHED,1038.65,1038.65,0.0,0,0,LEGITIMATE,TOL-BANK,2025-04-05T00:00:00Z,
rcn-00009,RUN-2025-04-05-01,PAYMENT_VS_ORDER,core.orders,ORD-3,core.payments,PAY-0003,MATCHED,2730.41,2730.41,0.0,0,0,LEGITIMATE,TOL-PAYMENT,2025-04-05T00:00:00Z,
rcn-00010,RUN-2025-04-05-01,SETTLEMENT_VS_PAYMENT,core.payments,PAY-0003,core.settlements,SET-0003,MATCHED,2665.97,2665.97,0.0,0,0,LEGITIMATE,TOL-SETTLEMENT,2025-04-05T00:00:00Z,
