action_id,case_id,tool_id,action_type,actor,status,risk_level,input_payload,result_payload,external_ref,idempotency_key,approval_id,amount,executed_at
ACT-0001,CASE-0091,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0091"", ""evidence_ids"": [""EVID-00310"", ""EVID-00311"", ""EVID-00312""]}","{""draft"": {""draft_id"": ""DRF-CASE-0091"", ""case_id"": ""CASE-0091"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-603 \u2014 \u20b95755.61"", ""body"": ""Order ORD-603 (payment PAY-0603) was settled \u20b90 against a contractual expectation of \u20b95755.61 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b95755.61. Evidence attached: EVID-00310, EVID-00311, EVID-00312"", ""amount"": ""5755.61""}, ""draft_id"": ""DRF-CASE-0091""}",DRF-CASE-0091,CASE-0091:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0002,CASE-0091,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0091"", ""evidence_ids"": [""EVID-00310"", ""EVID-00311"", ""EVID-00312""]}","{""dispute_id"": ""DIS-CASE-0091"", ""status"": ""SUBMITTED""}",DIS-CASE-0091,CASE-0091:CREATE_DISPUTE,APR-0001,,2025-04-05T00:00:00Z
ACT-0003,CASE-0029,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0029"", ""evidence_ids"": [""EVID-00099"", ""EVID-00100"", ""EVID-00101""]}","{""draft"": {""draft_id"": ""DRF-CASE-0029"", ""case_id"": ""CASE-0029"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-138 \u2014 \u20b92092.88"", ""body"": ""Order ORD-138 (payment PAY-0138) was settled \u20b90 against a contractual expectation of \u20b92092.88 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b92092.88. Evidence attached: EVID-00099, EVID-00100, EVID-00101"", ""amount"": ""2092.88""}, ""draft_id"": ""DRF-CASE-0029""}",DRF-CASE-0029,CASE-0029:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0004,CASE-0029,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0029"", ""evidence_ids"": [""EVID-00099"", ""EVID-00100"", ""EVID-00101""]}","{""dispute_id"": ""DIS-CASE-0029"", ""status"": ""SUBMITTED""}",DIS-CASE-0029,CASE-0029:CREATE_DISPUTE,APR-0002,,2025-04-05T00:00:00Z
ACT-0005,CASE-0061,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0061"", ""evidence_ids"": [""EVID-00208"", ""EVID-00209"", ""EVID-00210""]}","{""draft"": {""draft_id"": ""DRF-CASE-0061"", ""case_id"": ""CASE-0061"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-346 \u2014 \u20b92058.75"", ""body"": ""Order ORD-346 (payment PAY-0346) was settled \u20b90 against a contractual expectation of \u20b92058.75 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b92058.75. Evidence attached: EVID-00208, EVID-00209, EVID-00210"", ""amount"": ""2058.75""}, ""draft_id"": ""DRF-CASE-0061""}",DRF-CASE-0061,CASE-0061:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0006,CASE-0061,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0061"", ""evidence_ids"": [""EVID-00208"", ""EVID-00209"", ""EVID-00210""]}","{""dispute_id"": ""DIS-CASE-0061"", ""status"": ""SUBMITTED""}",DIS-CASE-0061,CASE-0061:CREATE_DISPUTE,APR-0003,,2025-04-05T00:00:00Z
ACT-0007,CASE-0117,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0117"", ""evidence_ids"": [""EVID-00401"", ""EVID-00402"", ""EVID-00403""]}","{""draft"": {""draft_id"": ""DRF-CASE-0117"", ""case_id"": ""CASE-0117"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-773 \u2014 \u20b91988.32"", ""body"": ""Order ORD-773 (payment PAY-0773) was settled \u20b90 against a contractual expectation of \u20b93632.03 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b91988.32. Evidence attached: EVID-00401, EVID-00402, EVID-00403"", ""amount"": ""1988.32""}, ""draft_id"": ""DRF-CASE-0117""}",DRF-CASE-0117,CASE-0117:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0008,CASE-0117,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0117"", ""evidence_ids"": [""EVID-00401"", ""EVID-00402"", ""EVID-00403""]}","{""dispute_id"": ""DIS-CASE-0117"", ""status"": ""SUBMITTED""}",DIS-CASE-0117,CASE-0117:CREATE_DISPUTE,APR-0004,,2025-04-05T00:00:00Z
ACT-0009,CASE-0143,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0143"", ""evidence_ids"": [""EVID-00490"", ""EVID-00491"", ""EVID-00492""]}","{""draft"": {""draft_id"": ""DRF-CASE-0143"", ""case_id"": ""CASE-0143"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-952 \u2014 \u20b91980.46"", ""body"": ""Order ORD-952 (payment PAY-0952) was settled \u20b90 against a contractual expectation of \u20b93949.51 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b91980.46. Evidence attached: EVID-00490, EVID-00491, EVID-00492"", ""amount"": ""1980.46""}, ""draft_id"": ""DRF-CASE-0143""}",DRF-CASE-0143,CASE-0143:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0010,CASE-0143,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0143"", ""evidence_ids"": [""EVID-00490"", ""EVID-00491"", ""EVID-00492""]}","{""dispute_id"": ""DIS-CASE-0143"", ""status"": ""SUBMITTED""}",DIS-CASE-0143,CASE-0143:CREATE_DISPUTE,APR-0005,,2025-04-05T00:00:00Z
ACT-0011,CASE-0004,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0004"", ""evidence_ids"": [""EVID-00013"", ""EVID-00014"", ""EVID-00015""]}","{""draft"": {""draft_id"": ""DRF-CASE-0004"", ""case_id"": ""CASE-0004"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-12 \u2014 \u20b91945.43"", ""body"": ""Order ORD-12 (payment PAY-0012) was settled \u20b90 against a contractual expectation of \u20b91945.43 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b91945.43. Evidence attached: EVID-00013, EVID-00014, EVID-00015"", ""amount"": ""1945.43""}, ""draft_id"": ""DRF-CASE-0004""}",DRF-CASE-0004,CASE-0004:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0012,CASE-0004,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0004"", ""evidence_ids"": [""EVID-00013"", ""EVID-00014"", ""EVID-00015""]}","{""dispute_id"": ""DIS-CASE-0004"", ""status"": ""SUBMITTED""}",DIS-CASE-0004,CASE-0004:CREATE_DISPUTE,APR-0006,,2025-04-05T00:00:00Z
ACT-0013,CASE-0108,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0108"", ""evidence_ids"": [""EVID-00367"", ""EVID-00368"", ""EVID-00369""]}","{""draft"": {""draft_id"": ""DRF-CASE-0108"", ""case_id"": ""CASE-0108"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-705 \u2014 \u20b91722.34"", ""body"": ""Order ORD-705 (payment PAY-0705) was settled \u20b90 against a contractual expectation of \u20b91722.34 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b91722.34. Evidence attached: EVID-00367, EVID-00368, EVID-00369"", ""amount"": ""1722.34""}, ""draft_id"": ""DRF-CASE-0108""}",DRF-CASE-0108,CASE-0108:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0014,CASE-0108,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0108"", ""evidence_ids"": [""EVID-00367"", ""EVID-00368"", ""EVID-00369""]}","{""dispute_id"": ""DIS-CASE-0108"", ""status"": ""SUBMITTED""}",DIS-CASE-0108,CASE-0108:CREATE_DISPUTE,APR-0007,,2025-04-05T00:00:00Z
ACT-0015,CASE-0121,draft_dispute,DRAFT_DISPUTE,AGENT,EXECUTED,L1_DRAFT,"{""case_id"": ""CASE-0121"", ""evidence_ids"": [""EVID-00415"", ""EVID-00416"", ""EVID-00417""]}","{""draft"": {""draft_id"": ""DRF-CASE-0121"", ""case_id"": ""CASE-0121"", ""to"": ""payments-support@razorpay.com"", ""subject"": ""Settlement discrepancy on ORD-807 \u2014 \u20b91616.44"", ""body"": ""Order ORD-807 (payment PAY-0807) was settled \u20b90 against a contractual expectation of \u20b91616.44 (rate card + GST on MDR). We request a review and reversal of the unexplained difference of \u20b91616.44. Evidence attached: EVID-00415, EVID-00416, EVID-00417"", ""amount"": ""1616.44""}, ""draft_id"": ""DRF-CASE-0121""}",DRF-CASE-0121,CASE-0121:DRAFT_DISPUTE,,,2025-04-05T00:00:00Z
ACT-0016,CASE-0121,create_dispute,CREATE_DISPUTE,AGENT,EXECUTED,L3_FINANCIAL,"{""case_id"": ""CASE-0121"", ""evidence_ids"": [""EVID-00415"", ""EVID-00416"", ""EVID-00417""]}","{""dispute_id"": ""DIS-CASE-0121"", ""status"": ""SUBMITTED""}",DIS-CASE-0121,CASE-0121:CREATE_DISPUTE,APR-0008,,2025-04-05T00:00:00Z
