case_id,anomaly_id,order_id,payment_id,customer_id,category,priority,status,expected_fee,expected_tax,expected_settlement,actual_fee,actual_tax,actual_settlement,known_adjustments,refund_status,recon_status,potential_leakage,confidence,recoverability_status,potential_recovery,deadline_at,allowed_actions,approval_required,opened_at,closed_at
CASE-0001,anm-00001,ORD-1,PAY-0001,CUS-0040,FEE_DISCREPANCY,LOW,NEW,24.61,4.43,1201.41,36.29,6.53,1189.73,0,NONE,MISMATCH,13.78,0.90,ACTION_READY,13.78,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0002,anm-00002,ORD-4,PAY-0004,CUS-0157,FEE_DISCREPANCY,LOW,NEW,2.46,0.44,611.29,3.46,0.62,610.29,0,NONE,MISMATCH,1.18,0.90,ACTION_READY,1.18,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0003,anm-00003,ORD-9,PAY-0009,CUS-0079,FEE_DISCREPANCY,LOW,NEW,2.59,0.47,645.46,3.81,0.69,644.24,0,NONE,MISMATCH,1.44,0.90,ACTION_READY,1.44,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0004,anm-00004,ORD-12,PAY-0012,CUS-0177,SETTLEMENT_MISMATCH,HIGH,NEW,39.85,7.17,1945.43,39.85,7.17,0,0,NONE,MISMATCH,1945.43,0.90,ACTION_READY,1945.43,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0005,anm-00005,ORD-16,PAY-0016,CUS-0248,REFUND_ECONOMICS,LOW,NEW,21.24,3.82,1036.95,21.24,3.82,595.52,0,REFUNDED,MISMATCH,8.83,0.90,ACTION_READY,8.83,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0006,anm-00006,ORD-17,PAY-0017,CUS-0039,REFUND_ECONOMICS,LOW,NEW,7.88,1.42,384.83,7.88,1.42,206.34,0,REFUNDED,MISMATCH,3.57,0.90,ACTION_READY,3.57,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0007,anm-00007,ORD-25,PAY-0025,CUS-0019,SETTLEMENT_MISMATCH,HIGH,NEW,58.27,10.49,2844.83,58.27,10.49,0,0,REFUNDED,MISMATCH,1541.86,0.90,ACTION_READY,1541.86,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,TRUE,2025-04-05T00:00:00Z,
CASE-0008,anm-00008,ORD-35,PAY-0035,CUS-0093,FEE_DISCREPANCY,LOW,NEW,4.38,0.79,1089.49,8.76,1.58,783.01,0,REFUNDED,MISMATCH,5.17,0.90,ACTION_READY,5.17,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
CASE-0009,anm-00009,ORD-36,PAY-0036,CUS-0069,SETTLEMENT_MISMATCH,MEDIUM,NEW,17.33,3.12,4312.97,17.33,3.12,4018.73,0,NONE,MISMATCH,294.24,0.90,ACTION_READY,294.24,2025-05-05T00:00:00Z,DRAFT_DISPUTE|CREATE_DISPUTE|NOTIFY_GATEWAY|FINANCE_REVIEW|ESCALATE,FALSE,2025-04-05T00:00:00Z,
CASE-0010,anm-00010,ORD-41,PAY-0041,CUS-0236,FEE_DISCREPANCY,LOW,NEW,7.36,1.32,1830.08,9.29,1.67,1180.13,0,REFUNDED,MISMATCH,2.28,0.90,ACTION_READY,2.28,2025-05-05T00:00:00Z,NOTIFY_GATEWAY|DRAFT_DISPUTE|FINANCE_REVIEW|ESCALATE|CLOSE_NO_ACTION,FALSE,2025-04-05T00:00:00Z,
