verification_id,action_id,case_id,status,check_type,expected_ref,observed_value,checked_at,notes
VER-0001,ACT-0002,CASE-0091,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0091,"{""recovered_amount"": 5755.61, ""bank_ref"": ""RCV-CASE-0091""}",2025-04-05T00:00:00Z,dispute SUBMITTED; recovery 5755.61
VER-0002,ACT-0004,CASE-0029,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0029,"{""recovered_amount"": 1255.73, ""bank_ref"": ""RCV-CASE-0029""}",2025-04-05T00:00:00Z,dispute SUBMITTED; recovery 1255.73
VER-0003,ACT-0006,CASE-0061,IN_PROGRESS,AMOUNT_RECOVERED,DIS-CASE-0061,"{""recovered_amount"": 0.0, ""bank_ref"": """"}",2025-04-05T00:00:00Z,dispute SUBMITTED; recovery 0.0
VER-0004,ACT-0008,CASE-0117,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0117,"{""recovered_amount"": 1988.32, ""bank_ref"": ""RCV-CASE-0117""}",2025-04-05T00:00:00Z,dispute SUBMITTED; recovery 1988.32
VER-0005,ACT-0010,CASE-0143,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0143,"{""recovered_amount"": 1980.46, ""bank_ref"": ""RCV-CASE-0143""}",2025-04-05T00:00:00Z,dispute SUBMITTED; recovery 1980.46
VER-0006,ACT-0012,CASE-0004,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0004,"{""recovered_amount"": 1945.43, ""bank_ref"": ""RCV-CASE-0004""}",2025-04-05T00:00:00Z,dispute SUBMITTED; recovery 1945.43
VER-0007,ACT-0014,CASE-0108,RECOVERY_VERIFIED,AMOUNT_RECOVERED,DIS-CASE-0108,"{""recovered_amount"": 1722.34, ""bank_ref"": ""RCV-CASE-0108""}",2025-04-05T00:00:00Z,dispute SUBMITTED; recovery 1722.34
VER-0008,ACT-0016,CASE-0121,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0121,"{""recovered_amount"": 969.86, ""bank_ref"": ""RCV-CASE-0121""}",2025-04-05T00:00:00Z,dispute SUBMITTED; recovery 969.86
VER-0009,ACT-0018,CASE-0007,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0007,"{""recovered_amount"": 925.12, ""bank_ref"": ""RCV-CASE-0007""}",2025-04-05T00:00:00Z,dispute SUBMITTED; recovery 925.12
VER-0010,ACT-0020,CASE-0130,FINANCIAL_EFFECT_DETECTED,AMOUNT_RECOVERED,DIS-CASE-0130,"{""recovered_amount"": 774.64, ""bank_ref"": ""RCV-CASE-0130""}",2025-04-05T00:00:00Z,dispute SUBMITTED; recovery 774.64
